,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.18,1.03,1.53,2.91,18.42,25.27,34.31,22.43,37.61,40.45,63.08,86.98,90.52,90.14
f_1,0.87,1.0,1.45,1.23,1.47,2.53,15.66,28.23,25.01,30.05,34.57,42.59,55.7,76.81,71.04,115.91
e_1,0.84,0.69,1.0,1.29,1.6,2.54,15.97,33.52,24.37,28.83,31.04,42.08,63.31,75.61,83.8,127.55
c_1,0.98,0.81,0.76,1.0,1.72,2.09,14.7,15.42,19.69,22.03,24.27,33.26,51.99,63.68,78.31,93.72
b_1,0.66,0.67,0.62,0.59,1.0,2.91,12.06,15.85,17.08,16.73,26.27,25.56,40.0,44.79,52.18,68.8
a_1,0.35,0.4,0.4,0.46,0.34,1.0,6.47,8.09,9.21,10.35,14.92,16.79,23.28,30.72,33.57,42.36
h_1,0.05,0.07,0.06,0.07,0.08,0.15,1.0,1.31,1.41,1.83,1.87,2.42,3.45,3.62,5.11,7.84
d_0,0.04,0.03,0.03,0.07,0.07,0.12,0.77,1.0,0.88,1.19,1.46,1.84,2.65,3.01,3.56,5.51
c_0,0.03,0.04,0.04,0.05,0.06,0.1,0.72,1.14,1.0,1.12,1.72,1.59,2.49,3.27,3.34,4.38
g_1,0.04,0.03,0.03,0.05,0.06,0.09,0.56,0.82,0.91,1.0,1.29,1.93,1.95,2.31,3.32,4.21
b_0,0.03,0.03,0.03,0.04,0.04,0.06,0.52,0.67,0.58,0.77,1.0,1.13,1.89,3.02,2.8,3.24
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.4,0.56,0.61,0.55,0.88,1.0,1.6,1.92,3.05,2.25
h_0,0.02,0.02,0.02,0.02,0.03,0.04,0.29,0.39,0.4,0.53,0.54,0.65,1.0,1.21,1.3,2.14
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.27,0.31,0.3,0.43,0.36,0.5,0.81,1.0,1.16,1.43
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.29,0.3,0.29,0.37,0.35,0.79,0.89,1.0,1.29
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.19,0.24,0.24,0.3,0.44,0.47,0.72,0.79,1.0
