,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,34.45,0.08,0.13,0.08,0.05,0.06,0.26,0.25,0.41,0.4,0.28,,0.54,0.31,0.3,0.55
d_1,0.07,37.38,0.05,0.07,0.06,0.07,0.23,0.3,0.76,,0.45,0.34,0.65,0.36,0.37,0.49
e_1,0.07,0.05,38.52,0.07,0.06,0.06,0.26,0.26,0.33,0.74,0.4,0.34,0.53,0.38,,0.52
c_1,0.06,0.05,0.05,44.73,0.13,0.09,0.24,0.31,,0.44,0.39,0.41,0.52,0.28,0.37,0.75
b_1,0.05,0.06,0.06,0.05,50.95,0.16,0.34,0.16,0.36,0.38,,0.5,0.64,0.41,0.32,0.57
a_1,0.06,0.08,0.06,0.07,0.07,73.81,0.29,0.36,0.4,0.33,0.37,0.43,0.74,,,
h_1,0.38,0.25,0.22,0.3,0.23,0.17,28.34,1.7,1.33,1.43,1.48,1.1,,1.22,1.88,2.88
g_1,0.25,0.39,0.26,0.25,0.36,0.21,1.39,32.99,1.17,0.59,1.46,2.34,1.93,1.33,0.98,
c_0,0.37,0.38,0.31,,0.28,0.48,1.19,1.23,18.27,1.95,3.15,1.72,3.73,2.51,1.52,2.79
d_0,0.38,,0.39,0.71,0.3,0.32,1.69,0.98,1.52,19.63,1.81,1.69,3.65,1.51,2.38,2.55
b_0,0.35,0.34,0.48,0.29,,0.29,1.76,1.66,1.89,1.82,20.21,2.06,2.74,3.57,1.59,2.32
f_0,,0.32,0.27,0.4,0.27,0.27,1.97,1.85,2.19,1.62,1.62,21.26,3.62,2.35,4.46,3.29
h_0,0.79,0.43,0.46,0.49,0.68,0.48,,2.93,2.57,3.43,3.8,2.4,,2.44,3.23,6.24
a_0,0.41,0.28,0.5,0.28,0.28,,1.53,0.91,1.32,2.33,1.47,2.37,3.13,28.7,2.19,3.4
e_0,0.3,0.42,,0.38,0.32,0.4,1.91,1.64,1.24,1.87,1.83,2.3,2.66,,33.08,3.3
g_0,0.39,0.96,0.22,0.36,0.78,,2.51,,4.15,2.35,3.13,5.67,4.97,2.69,,
