,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.43,1.34,1.07,1.01,1.21,1.37,2.25,2.18,2.02,4.29,3.03,2.95,3.57,3.04,3.14,3.03
f_1,1.14,2.45,1.89,1.27,1.07,0.96,2.18,2.33,2.58,2.42,2.3,1.61,2.96,2.49,3.62,1.71
e_1,1.18,1.09,2.46,1.37,1.31,1.22,2.6,2.21,4.19,2.83,2.88,2.8,3.16,2.75,3.14,1.87
c_1,1.28,1.13,1.1,2.68,1.94,1.05,2.5,2.44,2.21,1.26,1.96,3.06,3.56,2.58,2.84,2.7
b_1,1.28,1.27,1.21,1.1,2.78,2.07,2.09,2.13,2.47,2.41,1.86,2.98,3.12,2.69,3.63,2.89
a_1,1.28,1.3,1.17,1.36,1.0,3.3,2.73,2.87,2.66,2.65,3.15,2.78,3.54,2.28,3.84,3.21
h_1,1.44,1.77,1.16,1.4,1.3,1.14,4.07,3.4,2.85,2.56,2.61,2.7,3.16,3.01,4.24,3.31
g_1,1.82,1.3,1.19,1.37,1.4,1.1,2.3,4.37,2.5,2.95,2.86,3.87,3.42,2.68,2.24,3.3
d_0,1.11,1.36,1.12,2.34,1.33,1.25,2.71,2.78,3.98,2.54,3.15,2.42,3.74,2.45,3.51,3.78
c_0,1.27,1.56,1.27,1.29,1.22,1.32,3.17,2.59,3.34,3.93,5.07,3.05,3.96,3.57,3.39,3.81
b_0,1.45,1.65,1.29,1.62,0.99,1.22,2.96,2.56,2.57,2.45,4.23,2.71,4.01,4.8,4.17,2.78
f_0,1.46,1.23,1.2,1.27,1.34,1.42,2.68,2.34,3.23,3.18,3.23,4.48,3.65,3.54,3.49,6.53
h_0,1.44,1.87,1.42,1.22,1.29,1.07,1.87,3.07,2.52,2.83,3.12,2.86,3.05,2.9,4.56,2.56
a_0,1.29,1.61,1.41,1.46,1.34,0.77,2.83,2.68,3.36,3.22,2.84,2.69,4.1,4.89,3.81,2.85
g_0,1.86,1.17,1.27,1.48,1.22,1.07,2.13,2.31,2.47,3.12,3.07,4.16,3.38,3.07,3.08,3.46
e_0,1.56,1.72,1.14,1.32,1.44,1.32,2.55,2.64,2.55,2.69,3.72,2.35,4.33,3.1,3.51,5.2
