,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11257.55,5136.28,4605.62,5143.9,4884.87,22551.06,3568590.25,10584264.98,10898794.56,11795605.58,25599186.81,19004298.26,128377295.52,175266323.33,100874561.66,280643073.14
e_1,3258.58,11428.98,3955.31,5674.18,5526.81,23000.2,5190921.97,18236282.05,9628554.78,16161690.57,27087797.17,46497140.56,127614251.45,215524885.88,103601686.73,333601183.7
d_1,3574.63,2469.48,19758.63,4219.76,5574.43,26187.94,4537056.26,4581674.34,23013174.01,16649792.99,36176502.54,54023276.99,142488241.0,189884947.52,209416578.8,340044534.47
c_1,3098.9,2866.42,3773.4,21028.65,10476.6,22116.16,4765755.12,9076740.2,5798294.12,15524926.59,18012208.55,43677878.46,112914705.13,167669801.15,206757330.28,284301747.14
b_1,2549.71,2433.2,4654.15,4595.84,26921.3,58636.86,5177248.77,10490343.37,9964934.8,18708718.02,14465870.64,46971271.96,133074015.11,140458749.35,153517511.54,301116658.99
a_1,2943.35,2413.9,5389.19,4275.49,6455.02,172699.18,6207689.39,11558343.09,12014862.13,19079665.14,31270096.9,56767451.97,143394382.14,89903700.66,223244930.91,442273194.16
h_1,5117.24,3283.93,6584.83,5655.04,5829.65,24855.3,15464517.5,11793724.7,14593782.26,28968017.67,36479845.88,53879002.45,96727531.3,204512410.35,245888515.96,569196888.45
d_0,3795.83,3742.15,3495.29,11654.25,7215.01,25176.42,6642573.65,23349950.71,7972172.83,19016668.83,32414746.78,53898132.22,164830977.71,209023352.99,211422535.82,391177866.4
c_0,4293.24,3747.09,6223.46,3484.61,6414.97,34078.7,6339546.32,13260736.99,26671658.44,21001342.86,73431570.37,52939787.76,171336073.52,256579841.37,279879183.54,460051918.09
g_1,2510.12,3146.83,10420.28,5956.88,6283.98,26902.9,5627732.25,11975426.16,12856563.58,67907274.17,36521921.83,94280782.76,181756008.79,245943080.58,281978978.86,294496902.58
b_0,4492.45,4348.42,6065.01,6483.07,3294.84,23968.7,6001529.97,11531879.65,13928132.13,23000596.74,77267275.05,63657386.52,155319417.2,509308800.22,310408474.77,441378224.0
f_0,2565.54,2873.29,7122.74,6526.03,7360.73,29298.12,6424840.75,12886726.15,14836964.65,23288480.16,39258534.36,144663746.3,185235836.3,246039006.89,584171504.6,443655937.78
h_0,4688.62,3852.08,6257.19,5881.26,6660.4,31281.67,3877971.37,12755928.7,15429173.57,27160403.52,34547335.71,60706015.79,85052359.24,198032635.7,201389198.41,562410657.81
a_0,3594.12,3537.35,6990.57,6786.88,5983.18,13160.4,6173686.1,12613478.2,16115790.24,24039939.84,46023991.61,74051346.88,167864676.69,619862357.16,219064314.22,514883687.4
e_0,3413.77,2072.04,6813.26,6450.56,9080.35,32998.62,6562586.95,10027185.19,16999234.06,20329473.27,40056301.36,58799967.47,200533450.76,199328287.4,726778077.78,432990040.56
g_0,3016.89,3182.35,9797.72,5126.68,7237.96,27507.84,5927592.94,11871069.99,13187389.08,19165985.23,31721605.12,102143001.0,140442047.84,251538347.83,266686991.23,300033859.62
