,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.08,0.74,0.98,0.62,0.69,0.73,0.99,1.73,0.97,1.0,1.08,1.09,0.91,1.09,0.84,0.93
f_1,1.27,2.17,0.68,0.8,0.61,0.64,0.86,0.87,0.94,0.9,0.95,0.52,0.96,1.08,0.65,0.94
c_1,0.64,0.73,2.21,0.71,1.36,0.68,0.86,0.86,0.49,0.78,0.61,0.98,0.94,0.95,0.89,0.98
d_1,0.79,0.76,0.62,2.24,0.83,0.67,0.94,0.55,1.62,0.97,1.21,1.02,1.0,0.8,1.0,0.94
b_1,0.68,0.84,0.71,0.78,2.49,1.38,0.97,0.83,1.01,0.88,0.62,0.94,0.97,0.69,0.91,0.97
a_1,0.77,0.83,0.76,0.85,0.56,3.24,1.08,1.01,0.85,1.0,0.95,1.1,1.04,0.63,1.17,0.96
h_1,0.77,1.11,0.88,0.87,0.73,0.65,2.07,0.91,0.94,1.4,1.0,1.03,0.87,1.04,1.2,1.36
d_0,0.78,0.8,1.52,0.57,0.82,0.75,0.94,1.63,0.76,0.95,1.02,1.13,1.17,1.03,1.1,1.12
c_0,0.81,1.03,0.71,0.95,0.49,0.84,1.07,1.08,1.64,1.02,2.13,0.92,1.24,1.42,1.22,1.17
g_1,0.73,0.68,0.84,1.4,0.67,0.77,0.93,0.87,1.0,2.41,1.07,1.63,1.0,0.91,1.15,0.85
b_0,0.79,0.87,1.01,0.91,0.55,0.6,1.11,1.07,1.03,1.07,2.09,1.02,1.23,2.34,1.15,1.21
f_0,0.68,0.67,0.96,0.94,0.92,0.81,1.12,1.08,0.99,1.1,1.16,1.99,1.22,1.14,2.28,1.06
h_0,0.69,1.12,0.91,0.93,0.8,0.67,0.79,0.96,0.92,1.23,1.13,0.95,0.91,1.23,1.11,1.46
a_0,0.77,0.97,0.86,0.96,0.8,0.55,1.14,0.99,0.97,1.16,1.01,1.03,1.47,2.3,1.14,1.21
e_0,0.57,0.98,0.87,0.95,0.77,0.83,1.32,0.96,1.05,1.15,1.25,1.1,1.14,1.3,2.36,1.21
g_0,0.67,0.74,0.84,1.23,0.89,0.7,1.11,0.82,1.06,0.98,1.03,1.68,1.04,1.38,1.4,0.97
