,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.06,1.93,2.58,2.19,1.99,1.84,0.71,0.88,0.74,0.65,0.95,0.6,0.39,0.59,0.6,0.57
d_1,2.67,1.06,2.69,2.15,2.22,1.62,0.91,0.65,0.94,0.76,0.63,0.6,0.5,0.37,0.54,0.48
e_1,1.43,2.27,1.06,2.57,2.49,2.37,1.01,0.88,0.89,0.71,0.8,0.79,0.59,0.55,0.63,1.11
c_1,2.44,2.88,2.2,1.06,2.63,1.73,0.75,0.75,0.47,0.86,0.68,0.53,0.63,0.52,0.57,0.62
b_1,3.19,2.7,2.45,1.56,1.07,3.08,1.15,1.15,0.8,0.88,0.73,1.27,0.57,0.66,0.68,0.7
a_1,3.98,4.78,3.06,4.94,2.05,1.07,1.62,1.23,1.18,0.93,1.03,1.11,0.87,0.81,1.36,0.88
h_1,6.53,6.21,5.55,6.26,4.98,5.14,1.33,2.69,1.58,1.63,1.61,1.61,1.76,1.32,1.22,1.26
g_1,8.08,6.85,6.47,7.6,6.34,5.43,2.09,1.35,1.88,1.86,1.88,2.23,1.26,1.77,1.72,1.6
d_0,7.09,10.77,4.47,8.82,7.2,6.09,2.89,3.25,1.56,1.92,2.1,1.93,1.77,1.56,1.92,1.85
c_0,9.14,4.84,7.24,13.34,7.16,6.68,3.08,2.71,2.98,1.55,2.21,2.64,1.89,1.75,2.15,2.19
f_0,11.88,7.38,7.13,9.09,7.47,5.86,3.14,2.31,2.97,1.93,1.52,2.26,1.64,1.18,1.97,2.31
b_0,9.33,7.46,7.27,10.62,11.51,6.47,3.12,2.76,2.62,1.5,2.26,1.6,1.97,1.71,2.58,1.86
h_0,11.54,9.03,8.74,8.98,10.04,7.47,5.63,3.78,3.03,2.48,2.74,2.55,2.94,2.51,2.36,2.12
g_0,10.88,11.45,10.98,10.73,9.8,9.14,3.1,5.58,3.2,3.2,3.43,3.06,1.98,3.26,2.48,2.32
a_0,10.46,11.32,10.7,12.0,12.61,18.17,4.65,4.69,2.91,2.66,3.27,1.87,2.67,2.36,1.62,2.31
e_0,16.98,10.97,14.28,10.9,10.26,9.64,3.93,3.75,3.49,2.77,2.03,3.15,2.99,2.5,4.43,1.63
