,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.15,74.92,89.82,97.48,114.29,77.15,16.78,24.29,22.48,15.02,16.97,,18.39,6.63,13.62,15.52
e_1,50.8,1.15,106.66,73.11,91.43,83.32,25.69,22.67,18.11,15.38,17.5,18.04,21.15,14.41,10.9,
d_1,76.74,97.19,1.15,89.36,91.43,71.83,26.52,11.53,,20.19,20.0,23.19,20.14,16.08,7.79,20.38
c_1,85.88,143.84,92.24,1.15,91.43,130.19,22.22,23.45,10.19,,19.31,16.23,35.25,11.61,14.22,17.16
b_1,109.3,119.87,121.89,56.44,1.15,138.87,37.36,30.91,26.08,24.85,,17.39,30.21,13.48,16.35,20.38
a_1,163.95,156.35,155.14,146.23,70.33,1.15,51.38,56.67,28.35,40.38,28.0,25.63,,32.15,18.17,
h_1,112.72,105.76,97.51,123.73,88.48,69.43,2.0,24.29,16.3,19.0,17.5,18.73,19.23,,12.58,21.73
g_1,116.35,149.83,142.21,107.23,144.37,94.68,26.52,2.0,25.08,20.84,28.0,24.35,22.26,11.3,,
d_0,100.19,47.32,,119.15,101.59,109.63,18.68,45.33,3.08,18.46,16.47,17.39,17.62,18.17,10.55,16.3
c_0,100.19,92.21,51.71,,137.15,94.68,24.91,24.29,16.3,2.92,25.45,18.73,21.15,16.72,13.62,
b_0,94.92,108.97,100.38,119.15,,130.19,30.44,40.0,25.08,10.95,2.99,27.06,22.26,16.72,20.44,18.11
f_0,,108.97,117.69,146.23,97.96,148.79,31.62,27.2,20.38,30.76,32.94,3.14,23.5,13.93,11.28,
a_0,212.18,138.31,189.61,123.73,144.37,,58.71,61.82,28.35,28.09,16.47,40.58,2.76,16.72,27.25,
h_0,100.19,119.87,72.62,84.66,78.37,104.15,,26.15,18.63,20.19,18.06,18.73,15.11,,17.21,21.73
g_0,124.38,163.45,162.52,114.89,119.26,160.23,22.83,,27.17,30.76,22.4,25.63,23.5,11.61,,27.17
e_0,277.46,,142.21,247.46,228.58,,63.23,,38.35,,35.0,,,22.0,25.15,2.83
