,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,1.09,0.91,0.85,0.77,0.49,0.45,0.57,0.42,0.39,0.45,0.34,0.34,0.31,0.32
f_1,1.27,1.0,0.99,0.99,0.87,0.72,0.39,0.45,0.44,0.44,0.42,0.35,0.31,0.31,0.26,0.35
c_1,0.9,1.0,1.0,1.02,1.23,0.85,0.54,0.46,0.35,0.38,0.37,0.43,0.35,0.35,0.34,0.33
d_1,1.08,1.04,0.97,1.0,0.96,0.78,0.53,0.4,0.5,0.49,0.56,0.41,0.37,0.35,0.35,0.27
b_1,1.15,1.15,0.84,1.03,1.0,1.2,0.56,0.51,0.42,0.47,0.5,0.39,0.31,0.4,0.36,0.36
a_1,1.29,1.32,1.2,1.26,0.84,1.0,0.77,0.66,0.55,0.65,0.52,0.5,0.5,0.49,0.52,0.41
h_1,2.04,2.65,1.84,1.89,1.76,1.27,1.0,1.0,0.83,0.84,0.84,0.72,0.72,0.73,0.7,0.76
g_1,2.22,2.19,2.16,2.47,1.98,1.5,1.02,1.0,0.86,0.95,0.93,1.05,0.77,0.67,0.83,0.7
d_0,1.85,2.18,2.91,2.11,2.34,1.76,1.15,1.13,1.0,1.03,0.8,0.91,0.8,0.84,0.82,0.73
b_0,2.35,2.4,2.58,2.03,2.08,1.6,1.16,1.02,1.01,1.0,0.81,0.94,1.15,0.81,0.79,0.73
c_0,2.66,2.48,2.64,1.81,1.98,1.96,1.21,1.02,1.32,1.26,1.0,0.93,0.97,0.9,0.85,0.79
f_0,2.26,2.81,2.42,2.43,2.63,1.88,1.32,0.96,1.07,1.06,1.06,1.0,0.99,0.93,1.16,0.68
a_0,2.79,3.17,2.84,2.66,3.2,1.95,1.37,1.27,1.31,0.89,1.01,1.03,1.0,1.08,0.85,0.97
h_0,2.98,3.17,2.88,2.86,2.49,2.01,1.38,1.49,1.16,1.17,1.08,1.07,0.92,1.0,0.83,1.03
e_0,3.17,3.94,2.86,2.77,2.84,1.9,1.39,1.15,1.26,1.38,1.22,0.87,1.25,1.21,1.0,0.97
g_0,3.17,2.88,3.02,3.56,2.74,2.4,1.33,1.39,1.39,1.36,1.27,1.41,1.07,0.96,1.05,1.0
