,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,13334.37,128.46,192.98,288.29,270.19,1449.02,155639.53,377229.18,738852.04,1505316.84,1692664.1,1853101.98,6861339.1,,4683322.31,8093176.5
d_1,164.36,13874.43,164.62,242.18,292.55,1685.47,148181.74,380280.13,1489655.47,,1521883.34,1681280.57,8137449.77,6212105.44,4224231.7,9790359.1
f_1,320.21,169.03,14965.37,221.29,317.5,969.66,172565.14,412705.27,694873.45,933716.48,,1770138.08,7228847.43,4036374.72,5802288.65,11182111.76
c_1,119.18,170.61,223.05,24220.97,721.72,1381.68,175389.72,219878.5,,873870.59,1701246.41,904910.53,7504610.0,4722082.71,5555391.42,13224255.63
b_1,192.11,124.33,174.91,207.58,30267.17,2692.31,188477.5,352513.28,541157.85,806205.23,1401466.69,,10224422.67,,5227732.11,12873396.72
a_1,161.04,182.9,172.61,319.25,349.08,168488.9,129267.49,432152.12,597073.27,947160.04,,1949535.02,5028293.27,7370082.11,,14788055.5
h_1,611.67,582.22,824.23,1460.92,1190.61,4641.55,7544194.08,1650821.09,2851024.88,2623159.74,5261502.88,7594208.47,,12708273.52,17596071.03,73822645.22
g_1,631.72,1224.64,635.99,593.8,1434.58,3857.0,662521.29,22698790.04,2566550.57,2480432.38,7915125.94,8549817.08,14963801.93,18277316.46,15840340.93,
c_0,830.66,1062.46,932.78,,1401.29,5703.02,931381.98,2031681.82,24306062.62,3685154.17,6898862.86,15968705.98,21737539.44,27878548.75,30533648.63,54485312.49
d_0,1121.13,,1012.64,3188.99,1826.48,5548.42,956474.68,1079181.78,1988036.37,26617208.61,7337753.61,8882750.87,37949403.24,20449739.18,23176371.07,44762576.86
f_0,784.36,1020.74,,1323.58,1717.6,,797018.68,2563433.48,3935233.7,3334762.46,53801436.35,7460788.86,38486135.39,67378600.26,,56593268.85
b_0,684.17,1114.89,1035.51,1459.56,,4514.57,729612.58,2107431.18,4044006.93,2925313.87,5558741.12,70052273.04,47679631.95,18303241.73,66557242.66,49169569.43
h_0,1055.42,902.59,2285.69,1986.5,2824.78,6197.39,,4673280.3,6661708.47,6438181.1,8217763.11,8982397.11,,42169233.4,42169233.4,124611114.69
e_0,,816.89,1057.33,1069.44,,10915.98,962269.65,2316203.06,3022344.97,5482606.91,6516710.11,8799082.89,41323506.09,294065858.25,,57643236.73
a_0,902.34,980.27,925.16,1212.03,1158.21,,962269.65,1505531.99,3022344.97,3655071.28,,7699197.53,48510202.8,,287482294.26,82862152.8
g_0,1126.35,2300.18,1070.23,2125.62,2164.34,8766.33,1062562.55,,4122608.75,5381363.16,14391833.02,20039601.45,47614396.24,38771937.42,38771937.42,
