,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,1.01,0.87,0.87,0.71,0.48,0.42,0.36,0.54,0.42,0.41,0.35,0.34,0.32,0.28
e_1,0.92,1.0,0.81,1.12,0.91,0.81,0.52,0.6,0.49,0.41,0.43,0.41,0.4,0.33,0.37,0.35
f_1,0.99,1.23,1.0,0.99,0.82,0.76,0.39,0.45,0.46,0.39,0.37,0.36,0.29,0.32,0.25,0.31
c_1,1.13,0.9,1.03,1.0,1.17,0.74,0.49,0.34,0.43,0.39,0.38,0.33,0.38,0.33,0.33,0.39
b_1,1.18,1.11,1.22,0.86,1.0,1.16,0.59,0.43,0.48,0.56,0.44,0.58,0.4,0.35,0.39,0.43
a_1,1.36,1.21,1.32,1.36,0.86,1.0,0.74,0.61,0.7,0.62,0.6,0.66,0.53,0.47,0.52,0.44
h_1,2.07,1.99,2.61,2.03,1.64,1.29,1.0,0.9,1.18,0.83,0.8,0.82,0.77,0.73,0.64,0.77
d_0,2.3,1.7,2.16,2.92,2.34,1.68,1.13,1.0,0.94,0.76,0.85,0.83,0.82,0.67,0.76,0.8
g_1,2.8,2.07,2.14,2.28,2.11,1.36,0.89,1.08,1.0,0.95,1.05,0.93,0.79,0.89,0.88,0.74
c_0,1.89,2.52,2.56,2.63,1.73,1.54,1.25,1.33,1.05,1.0,0.95,1.42,0.94,0.89,0.86,0.87
f_0,2.52,2.25,2.66,2.49,2.32,1.81,1.19,1.13,0.93,1.04,1.0,0.95,0.92,0.81,1.16,0.64
b_0,2.39,2.4,2.71,3.02,1.78,1.52,1.2,1.27,1.02,0.74,1.03,1.0,0.94,1.33,0.9,0.81
h_0,2.95,2.62,3.35,2.61,2.47,1.93,1.32,1.25,1.28,1.09,1.07,1.02,1.0,0.91,0.85,1.02
a_0,2.91,3.04,3.28,2.92,2.64,2.01,1.44,1.5,1.11,1.21,1.18,0.79,1.11,1.0,1.04,0.95
e_0,3.07,2.66,4.16,3.06,2.58,2.0,1.54,1.31,1.12,1.2,0.86,1.19,1.14,0.98,1.0,0.98
g_0,3.68,2.87,3.08,2.64,2.36,2.3,1.28,1.26,1.32,1.2,1.55,1.3,0.98,1.02,1.0,1.0
