,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.5,0.72,0.62,0.85,0.73,0.58,0.8,1.46,0.82,0.79,0.95,0.96,0.65,0.89,0.53,0.9
f_1,1.14,1.52,0.75,0.7,0.59,0.49,0.73,0.78,0.79,0.84,0.76,0.46,0.78,0.84,0.56,0.75
d_1,0.84,0.78,1.55,0.61,0.63,0.58,0.95,0.6,0.75,1.38,0.96,0.81,0.82,0.95,0.87,0.83
c_1,0.73,0.76,0.78,1.56,1.11,0.61,0.9,0.72,0.68,0.47,0.66,0.78,0.69,0.97,0.7,0.95
b_1,0.69,0.86,0.88,0.68,1.61,1.04,0.84,0.91,0.81,0.86,0.48,0.85,0.64,0.93,0.87,0.72
a_1,0.9,0.95,0.73,0.92,0.65,1.77,1.05,0.82,0.88,0.95,1.06,0.9,0.52,0.98,0.75,0.87
h_1,1.08,1.36,0.98,0.93,0.91,0.65,1.75,1.06,1.05,1.0,1.02,0.92,0.99,0.94,0.91,1.33
d_0,0.84,1.04,0.76,1.75,0.94,0.88,1.13,1.65,1.14,0.86,1.2,1.09,1.07,1.33,0.96,1.08
g_1,0.91,0.83,1.42,1.09,0.93,0.76,1.24,1.06,1.85,1.29,1.08,1.52,1.15,1.17,1.09,1.07
c_0,1.11,1.12,1.0,1.0,0.69,0.72,1.38,1.38,1.15,1.68,2.02,1.18,1.26,1.28,1.08,1.35
b_0,1.02,1.25,1.0,1.22,0.81,0.68,1.41,1.23,1.23,1.01,1.7,1.18,1.98,1.33,1.03,1.22
f_0,0.79,0.99,1.21,1.19,1.05,0.84,1.43,1.26,1.04,1.23,1.31,1.71,1.22,1.34,1.96,1.21
a_0,1.32,1.06,1.03,1.19,1.12,0.8,1.4,1.28,1.08,1.06,0.93,1.19,1.8,1.39,1.14,1.14
h_0,1.13,1.41,1.15,1.05,0.92,0.71,0.91,1.22,1.4,1.21,1.14,1.16,1.08,1.09,1.01,1.62
e_0,0.81,1.31,1.16,1.14,1.0,1.06,1.32,1.2,1.18,1.45,1.44,1.07,1.14,1.58,1.76,1.3
g_0,1.03,1.1,1.55,1.05,1.22,0.75,1.19,1.17,0.84,1.15,1.21,1.68,1.13,1.28,1.25,1.01
