,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.65,0.52,0.74,0.84,0.58,0.61,0.96,0.83,0.88,1.79,1.05,1.02,0.92,0.85,0.43,0.78
d_1,0.68,2.72,0.64,0.52,0.59,0.61,0.95,0.89,1.85,0.34,1.13,1.1,0.97,1.07,1.07,1.05
f_1,1.17,0.7,2.67,0.55,0.54,0.47,0.92,0.92,0.84,0.89,0.37,0.91,0.77,1.06,0.59,0.89
c_1,0.5,0.62,0.67,2.95,1.22,0.56,0.85,0.75,0.43,0.91,0.93,0.58,1.03,0.76,0.95,1.12
b_1,0.59,0.58,0.6,0.64,3.06,1.38,0.84,0.85,0.65,0.85,0.9,0.34,1.1,0.72,0.99,0.94
a_1,0.64,0.72,0.68,0.78,0.65,4.13,0.75,1.0,0.76,0.91,0.86,1.14,0.89,0.44,1.21,0.87
h_1,0.67,0.88,1.07,0.85,0.71,0.67,2.46,1.39,1.09,0.99,1.16,1.24,0.87,1.14,1.19,1.48
g_1,0.73,1.35,0.68,0.52,0.69,0.81,1.14,3.13,1.36,0.85,1.76,1.36,1.02,1.08,1.3,0.71
c_0,0.8,0.98,0.92,0.44,0.61,0.71,1.29,1.25,2.27,1.03,1.27,2.38,1.12,1.48,1.07,1.26
d_0,0.76,0.39,0.81,1.73,0.85,0.57,1.16,0.87,0.67,2.25,1.03,1.08,1.34,1.22,1.08,1.06
f_0,0.63,0.91,0.66,0.76,0.87,0.76,1.27,1.29,1.27,1.09,2.62,1.38,1.37,1.21,3.01,1.31
b_0,0.73,1.14,0.95,0.86,0.42,0.46,1.15,1.17,1.17,1.16,1.18,2.61,1.42,2.79,1.26,1.15
h_0,0.64,0.86,1.17,0.96,0.7,0.82,0.64,1.59,0.99,1.12,1.06,1.17,0.86,1.42,1.14,1.54
a_0,0.77,0.95,0.97,0.85,0.73,0.32,1.28,1.18,1.15,1.03,1.37,1.27,1.46,3.18,1.38,1.47
e_0,0.46,0.89,0.96,0.75,0.76,0.8,1.45,1.18,1.18,1.0,1.14,1.25,1.62,1.17,3.16,1.29
g_0,0.61,1.32,0.66,1.01,0.75,0.76,1.0,0.64,1.06,0.88,1.64,1.33,1.08,1.14,1.29,0.63
