,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.13,4.6,4.43,5.14,5.65,4.97,1.12,1.78,1.0,1.2,1.01,2.26,0.56,1.14,0.99,0.89
d_1,5.1,1.12,6.19,5.51,5.17,5.07,1.57,0.96,0.89,2.69,0.9,0.98,0.64,1.01,0.99,0.49
e_1,2.9,6.06,1.13,5.93,6.24,8.03,1.58,1.98,1.19,1.23,1.17,1.48,0.85,1.17,2.44,0.93
c_1,5.81,7.44,4.91,1.13,5.8,5.41,1.34,1.72,2.22,0.66,1.15,0.91,1.02,0.9,1.29,0.82
b_1,7.01,6.85,6.89,3.33,1.13,5.88,2.94,1.87,2.16,1.85,6.04,1.55,1.04,1.91,1.61,1.02
a_1,12.43,9.29,10.76,12.63,4.48,1.14,3.12,2.77,2.21,1.86,2.39,1.96,1.5,5.8,1.78,1.49
h_1,22.14,16.78,18.8,17.56,24.45,16.13,1.78,6.58,4.47,4.18,4.19,4.36,7.13,5.0,3.49,3.15
g_1,25.85,20.11,21.46,25.37,25.76,18.95,5.23,1.79,4.47,5.01,4.34,4.16,2.08,4.68,3.81,4.61
c_0,26.43,11.64,22.31,56.07,28.85,20.55,6.8,6.33,2.3,6.3,4.13,4.72,3.03,4.26,4.48,3.17
d_0,20.12,45.97,11.87,26.2,23.27,26.38,6.8,6.98,4.93,2.31,5.58,4.13,3.2,4.63,4.12,3.98
b_0,28.11,19.34,24.98,35.12,62.72,22.18,5.94,6.71,2.9,4.26,2.3,4.68,4.17,6.13,4.08,3.06
f_0,60.03,21.85,24.43,26.63,30.69,22.44,7.96,5.14,5.2,5.46,5.75,2.46,4.29,6.69,5.67,2.15
h_0,33.73,34.71,29.88,36.32,32.42,25.68,14.96,11.4,6.11,7.18,5.92,5.79,7.49,6.69,6.09,4.68
a_0,39.36,27.44,33.81,36.74,39.52,65.07,9.84,9.63,6.47,6.54,3.62,6.24,5.39,2.44,5.59,6.65
e_0,62.14,29.5,57.71,40.46,32.42,32.53,10.84,9.91,7.32,8.26,6.51,3.21,5.39,7.25,2.53,4.38
g_0,44.28,48.49,39.85,43.19,35.62,39.04,7.79,17.54,8.02,10.49,8.49,8.52,4.56,9.26,9.07,10.48
