,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.95,0.43,0.55,0.37,0.39,0.29,0.32,0.51,0.28,0.28,0.29,0.24,0.27,0.21,0.23,0.14
f_1,0.71,0.95,0.43,0.39,0.38,0.31,0.28,0.27,0.22,0.27,0.15,0.22,0.21,0.17,0.21,0.14
c_1,0.44,0.46,0.94,0.47,0.65,0.31,0.29,0.26,0.24,0.16,0.27,0.2,0.29,0.19,0.25,0.18
d_1,0.49,0.57,0.37,0.95,0.39,0.29,0.34,0.24,0.26,0.46,0.27,0.3,0.29,0.19,0.24,0.18
b_1,0.48,0.47,0.39,0.47,0.94,0.6,0.35,0.28,0.3,0.28,0.3,0.2,0.28,0.19,0.2,0.18
a_1,0.53,0.53,0.52,0.62,0.4,0.94,0.36,0.36,0.33,0.32,0.35,0.34,0.3,0.16,0.27,0.29
h_1,0.68,0.94,0.73,0.73,0.57,0.48,0.75,0.42,0.51,0.39,0.39,0.35,0.31,0.32,0.4,0.28
d_0,0.68,0.75,1.3,0.5,0.71,0.44,0.55,0.67,0.4,0.31,0.42,0.38,0.42,0.34,0.36,0.32
g_1,0.78,0.75,0.79,1.02,0.57,0.49,0.51,0.49,0.75,0.44,0.59,0.37,0.39,0.32,0.28,0.28
c_0,0.91,0.87,0.6,0.72,0.6,0.48,0.64,0.64,0.48,0.68,0.48,0.71,0.43,0.38,0.39,0.32
f_0,0.74,0.79,0.87,0.81,0.76,0.48,0.63,0.54,0.43,0.48,0.65,0.5,0.49,0.37,0.36,0.58
b_0,0.93,0.95,0.82,0.69,0.53,0.39,0.66,0.66,0.51,0.46,0.45,0.69,0.47,0.64,0.37,0.35
h_0,0.84,1.17,0.71,0.85,0.77,0.54,0.54,0.54,0.59,0.55,0.44,0.49,0.4,0.37,0.53,0.32
a_0,0.98,0.95,0.95,0.83,0.82,0.43,0.66,0.61,0.47,0.51,0.48,0.45,0.51,0.64,0.43,0.37
g_0,0.88,0.83,0.76,1.17,0.85,0.51,0.63,0.58,0.46,0.58,0.73,0.53,0.43,0.38,0.39,0.42
e_0,0.79,1.02,1.02,1.0,0.91,0.48,0.7,0.6,0.6,0.6,0.4,0.51,0.58,0.44,0.46,0.62
