,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.04,1.16,1.41,1.57,1.46,1.25,0.59,0.6,0.57,0.47,0.48,0.55,0.42,0.36,0.35,0.5
f_1,1.58,1.05,1.45,1.49,1.39,1.21,0.5,0.64,0.49,0.42,0.43,0.48,0.4,0.28,0.35,0.33
d_1,1.9,1.65,1.04,1.56,1.44,1.27,0.61,0.42,0.54,0.5,0.47,0.42,0.37,0.34,0.26,0.35
c_1,1.48,1.66,1.8,1.05,1.77,1.21,0.58,0.59,0.35,0.54,0.45,0.43,0.44,0.37,0.35,0.37
b_1,2.01,2.01,1.99,1.28,1.05,1.9,0.7,0.69,0.55,0.71,0.71,0.57,0.53,0.47,0.4,0.43
a_1,2.89,2.77,2.49,2.74,1.48,1.06,1.2,0.9,0.83,0.76,0.92,0.72,0.9,0.64,0.6,0.61
h_1,4.25,4.36,4.13,4.08,4.45,2.83,1.24,1.59,1.29,1.3,1.28,1.14,1.09,1.03,0.93,0.94
g_1,4.5,4.61,4.83,4.67,4.32,3.67,1.52,1.25,1.38,1.44,1.37,1.35,1.25,0.98,1.02,1.21
d_0,3.65,4.79,6.32,5.85,5.1,4.02,2.15,2.31,1.36,1.45,1.53,1.58,1.47,1.24,1.16,1.34
c_0,5.21,6.12,3.69,6.48,4.9,4.47,2.01,1.91,2.09,1.33,1.8,1.55,1.45,1.34,1.03,1.24
b_0,5.32,5.64,4.8,6.7,6.16,4.15,2.09,2.13,1.77,1.15,1.33,1.64,1.7,1.26,1.15,1.46
f_0,5.13,7.31,6.16,5.76,5.65,4.72,2.26,1.59,1.7,1.64,1.67,1.34,1.52,1.43,0.9,1.67
a_0,7.32,7.27,6.96,6.84,7.51,5.9,2.51,2.79,2.2,1.91,1.44,2.03,1.44,1.49,1.47,1.77
h_0,6.93,7.94,6.9,6.89,6.48,5.12,2.9,2.64,2.2,1.95,1.91,1.81,1.92,1.81,1.55,1.69
g_0,8.56,8.21,9.44,8.19,8.32,6.94,2.76,3.23,2.51,2.66,2.41,2.63,1.98,1.63,1.95,1.84
e_0,8.35,11.09,9.63,8.51,7.78,6.28,3.1,2.69,2.3,2.8,2.51,1.58,2.2,1.95,1.72,1.52
