,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,1.06,1.01,1.17,1.28,0.97,0.25,0.42,0.24,0.26,0.23,0.35,0.13,0.25,0.18,0.22
e_1,0.67,0.42,1.26,1.42,1.18,1.18,0.44,0.37,0.26,0.26,0.28,0.33,0.18,0.26,0.21,0.49
d_1,1.23,1.32,0.42,1.18,1.16,1.05,0.28,0.22,0.25,0.36,0.24,0.25,0.16,0.2,0.11,0.22
c_1,1.34,0.98,1.63,0.4,1.25,1.1,0.36,0.35,0.4,0.14,0.26,0.23,0.2,0.25,0.19,0.21
b_1,1.43,1.37,1.38,0.77,0.39,1.28,0.45,0.39,0.35,0.27,0.39,0.27,0.2,0.26,0.2,0.26
a_1,2.07,1.6,1.41,1.7,0.84,0.33,0.47,0.5,0.28,0.36,0.38,0.26,0.24,0.54,0.2,0.33
h_1,2.43,2.07,2.11,2.32,1.97,1.89,0.3,0.64,0.43,0.45,0.45,0.38,0.39,0.41,0.27,0.39
g_1,2.81,2.55,2.05,2.54,2.5,2.14,0.47,0.28,0.45,0.41,0.43,0.47,0.24,0.42,0.36,0.39
c_0,2.95,2.45,1.3,4.34,2.54,2.55,0.68,0.6,0.32,0.69,0.5,0.47,0.35,0.52,0.32,0.46
d_0,2.45,1.41,3.47,2.79,2.6,2.43,0.73,0.9,0.54,0.33,0.56,0.48,0.39,0.6,0.43,0.54
b_0,3.18,2.38,1.92,3.72,3.86,2.13,0.64,0.6,0.3,0.56,0.31,0.45,0.38,0.47,0.34,0.51
f_0,3.83,2.65,2.58,2.55,2.7,2.16,0.78,0.5,0.5,0.61,0.51,0.3,0.36,0.47,0.25,0.47
h_0,3.07,2.88,2.82,3.27,2.54,2.5,1.06,0.85,0.56,0.75,0.57,0.61,0.63,0.53,0.42,0.56
a_0,2.92,2.98,3.15,3.84,3.8,3.89,0.83,0.87,0.55,0.71,0.34,0.62,0.36,0.28,0.43,0.55
g_0,3.76,3.25,3.1,3.5,3.2,3.08,0.67,1.12,0.59,0.7,0.59,0.61,0.35,0.57,0.63,0.62
e_0,4.68,4.46,3.06,3.12,3.24,2.36,0.74,0.85,0.67,0.56,0.63,0.3,0.59,0.63,0.35,0.28
