,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.22,0.87,1.02,0.82,0.88,0.59,0.54,0.65,0.65,0.59,0.51,0.51,0.55,0.6,0.48
e_1,0.84,1.0,0.95,1.23,0.97,0.79,0.74,0.65,0.72,0.87,0.62,0.76,0.59,0.58,0.57,0.55
d_1,1.11,1.04,1.0,0.88,0.93,0.71,0.7,0.84,0.56,0.64,0.67,0.6,0.61,0.54,0.49,0.58
c_1,1.03,0.81,1.11,1.0,1.28,0.89,0.75,0.62,0.62,0.5,0.56,0.63,0.59,0.52,0.57,0.55
b_1,1.23,1.05,1.06,0.79,1.0,1.22,0.83,0.82,0.74,0.66,0.72,0.69,0.68,0.57,0.62,0.58
a_1,1.16,1.25,1.36,1.15,0.84,1.0,0.88,0.83,0.89,0.81,0.83,0.77,0.81,0.88,0.79,0.69
h_1,1.65,1.36,1.45,1.29,1.17,1.1,1.0,0.85,1.06,0.93,0.94,0.79,0.88,0.77,0.91,0.78
c_0,1.75,1.55,1.2,1.61,1.2,1.24,1.17,1.0,0.99,1.16,1.26,0.96,0.97,0.99,0.91,0.88
g_1,1.5,1.37,1.82,1.69,1.31,1.13,0.95,0.95,1.0,0.88,0.92,1.05,0.72,0.95,0.76,0.91
d_0,1.48,1.12,1.56,1.95,1.58,1.21,1.15,0.84,1.14,1.0,0.93,0.97,0.92,0.91,0.91,0.9
b_0,1.61,1.65,1.47,1.76,1.42,1.16,1.11,0.8,1.04,1.03,1.0,0.95,0.95,1.33,0.93,0.83
f_0,1.85,1.33,1.71,1.55,1.41,1.25,1.31,1.04,0.93,0.97,0.99,1.0,0.9,1.06,0.77,1.24
h_0,1.93,1.71,1.72,1.66,1.45,1.24,1.21,1.01,1.39,1.07,1.01,1.02,1.0,0.94,1.06,0.84
a_0,1.86,1.74,1.73,1.91,1.69,1.25,1.41,1.06,1.01,1.13,0.78,1.0,1.11,1.0,0.92,1.0
g_0,1.63,1.66,2.03,1.74,1.67,1.25,1.1,1.12,1.28,1.08,1.06,1.34,0.95,1.03,1.0,1.06
e_0,2.12,1.9,1.78,1.77,1.69,1.46,1.33,1.11,1.01,1.04,1.07,0.82,1.14,1.07,0.95,1.0
