,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.39,0.4,0.22,0.27,0.17,0.29,0.5,0.22,0.25,0.17,0.2,0.25,0.18,0.12,0.22
f_1,0.58,0.91,0.31,0.29,0.25,0.14,0.23,0.3,0.23,0.2,0.14,0.11,0.23,0.19,0.14,0.19
c_1,0.3,0.35,0.91,0.29,0.47,0.18,0.28,0.29,0.13,0.14,0.15,0.16,0.25,0.14,0.17,0.19
d_1,0.37,0.38,0.21,0.91,0.23,0.18,0.31,0.18,0.52,0.3,0.2,0.24,0.29,0.2,0.2,0.23
b_1,0.32,0.37,0.32,0.29,0.9,0.38,0.26,0.31,0.24,0.15,0.15,0.19,0.25,0.14,0.17,0.18
a_1,0.32,0.41,0.34,0.28,0.23,0.89,0.3,0.29,0.32,0.24,0.18,0.21,0.35,0.13,0.19,0.24
h_1,0.37,0.55,0.35,0.35,0.26,0.18,0.6,0.26,0.28,0.27,0.27,0.25,0.2,0.19,0.19,0.29
d_0,0.39,0.35,0.65,0.21,0.31,0.19,0.32,0.52,0.2,0.23,0.19,0.21,0.27,0.18,0.19,0.25
c_0,0.43,0.43,0.24,0.36,0.23,0.2,0.29,0.31,0.5,0.47,0.24,0.27,0.33,0.24,0.18,0.25
b_0,0.45,0.44,0.38,0.31,0.17,0.12,0.33,0.36,0.34,0.5,0.23,0.23,0.3,0.46,0.2,0.28
g_1,0.38,0.36,0.32,0.47,0.25,0.18,0.35,0.25,0.29,0.25,0.57,0.36,0.28,0.21,0.19,0.21
f_0,0.29,0.34,0.38,0.4,0.27,0.21,0.35,0.32,0.32,0.28,0.27,0.51,0.35,0.2,0.44,0.28
h_0,0.39,0.51,0.35,0.38,0.26,0.18,0.25,0.29,0.28,0.27,0.29,0.23,0.23,0.19,0.19,0.33
a_0,0.43,0.43,0.37,0.36,0.22,0.13,0.35,0.35,0.29,0.25,0.25,0.24,0.27,0.44,0.23,0.27
e_0,0.25,0.45,0.32,0.46,0.3,0.21,0.32,0.28,0.33,0.26,0.27,0.25,0.37,0.22,0.43,0.26
g_0,0.33,0.35,0.38,0.52,0.28,0.18,0.31,0.26,0.31,0.23,0.16,0.4,0.31,0.19,0.2,0.2
