,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.45,21.27,41.15,30.1,30.22,36.58,9.37,6.66,8.23,9.23,6.69,6.53,4.44,5.89,5.95,
f_1,37.59,0.44,29.17,33.41,36.32,49.91,7.1,5.91,6.15,7.9,7.36,,2.97,11.48,7.85,7.36
d_1,30.73,40.14,0.43,52.26,28.66,29.92,9.68,,6.96,6.06,7.86,6.84,5.22,8.29,2.3,6.95
c_1,34.45,38.86,29.56,0.42,43.92,40.23,11.45,3.58,,9.35,8.82,6.62,4.31,,5.61,6.37
b_1,34.61,43.83,45.45,24.08,0.4,32.82,10.51,9.08,7.61,10.92,,5.86,7.34,6.54,4.1,5.49
a_1,64.54,44.59,65.3,38.25,29.7,0.33,9.76,7.81,7.48,,,8.29,8.26,,5.36,
h_1,21.09,18.85,13.91,16.66,16.98,16.97,0.38,3.69,3.88,5.0,3.55,2.97,,3.1,2.89,3.9
d_0,8.32,17.72,,13.03,15.99,24.33,3.73,0.5,3.17,3.49,3.24,2.8,2.3,3.09,1.96,4.38
c_0,16.59,12.41,9.24,,15.45,15.44,4.27,4.31,0.51,4.08,3.14,3.1,1.43,3.76,2.09,2.7
g_1,22.58,23.16,28.91,18.06,21.34,,3.79,3.63,3.31,0.34,4.47,4.62,2.35,3.74,,4.7
b_0,22.8,16.92,13.86,25.33,,,4.81,2.73,1.43,6.46,0.47,3.54,3.75,4.49,2.55,2.64
f_0,22.3,,13.9,21.71,18.78,13.51,5.77,3.6,4.36,3.19,3.32,0.45,2.13,3.77,1.81,3.16
h_0,13.27,12.98,13.77,8.6,12.47,15.12,,2.54,3.95,5.27,1.7,3.17,,2.44,1.91,2.26
a_0,23.06,19.04,23.02,,19.55,,6.05,6.05,4.51,7.41,2.05,4.2,2.58,0.37,2.53,3.28
g_0,12.11,14.28,13.34,12.92,15.27,12.69,2.94,4.51,3.41,,3.34,3.31,1.32,2.83,,
e_0,,16.71,36.41,19.75,21.25,,5.54,5.19,4.59,5.09,3.56,2.22,3.94,3.11,,0.38
