,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,14147.14,5414.95,5019.73,6250.43,12378.4,33659.7,5592897.18,10976595.22,24685153.88,29583638.66,17846797.34,50670884.12,141465675.9,117161150.84,145461791.21,446244985.13
f_1,4697.64,14829.78,9310.51,7342.59,11240.48,37211.21,5676299.99,8190044.58,11052441.04,21035595.07,25819396.63,25990392.5,105967756.44,102683250.57,97637290.48,314950110.22
e_1,4063.42,5717.18,15074.22,10418.12,12700.92,32877.27,5299472.73,9138520.94,12333222.24,20896177.98,48984657.48,45826016.34,133537062.8,98532764.85,91906339.76,367225956.16
c_1,5049.49,4866.65,4464.16,24929.57,24736.13,35516.61,5238030.91,9671924.39,7776446.0,15562448.61,25669261.72,53822541.68,118441678.57,101577946.74,129139202.3,363103255.81
b_1,5181.8,5607.22,5057.89,7608.68,43485.73,69400.41,5251506.17,8424774.72,12070772.9,15126600.59,17973564.68,44902236.1,128848281.16,93431492.54,134987356.76,400257586.77
a_1,5122.13,5486.91,5459.1,8947.38,10457.95,161950.47,5971683.14,10580045.67,14310977.26,26764522.78,28098672.17,40698064.86,152170580.65,95969902.23,164585760.01,386925213.76
h_1,6169.08,7767.25,5093.56,8303.88,13082.75,38978.46,11825690.36,13787397.07,13590623.78,23987601.18,22959003.62,49672583.56,96071736.32,120164228.36,140621382.67,584607619.81
g_1,8563.17,5558.89,4533.21,8038.16,12105.23,36560.21,5671617.3,24789719.5,16635740.99,23033023.98,23075546.78,81572638.49,159986995.56,113196632.61,188036334.46,320517623.81
c_0,6142.97,5987.63,5439.6,7860.41,10140.4,38843.1,6268706.48,11084500.43,24803450.62,49050454.09,29520068.86,60774044.55,171371205.34,170347334.88,170462049.23,501140100.8
b_0,5788.22,6364.97,5849.92,10258.31,10262.94,28408.24,7389960.8,11503515.43,14473581.5,41538262.3,32424980.99,59766510.09,170282735.11,225937634.74,175119416.56,467491362.61
d_0,2973.54,4953.77,5869.41,17962.25,15066.98,31542.39,6660740.94,11050490.12,10943166.24,22061204.16,47428837.44,59300666.21,137746641.64,110514075.81,158948721.83,421767784.96
f_0,6213.68,4941.15,4389.42,10684.14,14508.5,36755.68,6128433.28,12291589.33,15634843.79,29812604.26,28950654.25,96590431.18,173609697.77,124321645.57,343829865.04,483551065.89
h_0,6826.69,6877.22,5166.92,9339.07,12480.37,34286.43,5333960.48,15651782.67,14349071.88,26502761.81,29491169.65,57745020.93,116344242.58,120891832.19,195564005.94,584690990.94
a_0,6636.68,6051.15,5527.09,9907.89,14097.85,27776.76,6866042.4,11146704.38,14151853.91,26790229.03,29274767.75,63267964.3,177943282.47,262461036.81,154894357.18,543224705.14
e_0,6221.41,6412.41,3364.7,11121.09,16275.57,34869.25,5966283.42,12821767.24,14766021.62,29403561.61,22782159.51,53139494.18,190811604.43,152477553.62,364130618.71,592839792.93
g_0,8427.64,5215.1,4897.03,9853.22,14461.87,38437.58,6118630.4,8212302.39,14415545.12,24622992.66,23714654.46,82551396.63,134967035.16,101527494.57,164589938.85,329187466.3
