,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.19,1.14,1.46,1.98,3.55,22.66,39.46,25.6,40.04,48.97,48.64,72.67,88.44,86.93,130.92
f_1,0.85,1.0,1.43,1.47,1.55,2.87,16.27,22.57,26.37,30.39,32.78,33.12,52.33,73.44,87.24,75.71
e_1,0.87,0.7,1.0,1.56,1.79,3.32,16.18,22.71,24.53,35.81,35.44,48.45,61.85,74.64,87.75,85.03
c_1,0.69,0.67,0.64,1.0,1.79,1.99,9.27,12.15,15.73,13.34,16.68,25.27,41.76,47.19,56.75,66.25
b_1,0.51,0.64,0.56,0.56,1.0,3.15,12.01,14.78,16.07,14.15,23.59,27.41,38.26,42.49,53.44,54.79
a_1,0.28,0.35,0.3,0.51,0.32,1.0,5.98,7.88,8.64,8.25,12.13,15.37,23.08,23.53,31.2,23.42
h_1,0.04,0.06,0.06,0.11,0.08,0.17,1.0,1.32,1.93,1.51,1.81,2.6,3.5,3.99,5.43,4.54
c_0,0.03,0.04,0.04,0.08,0.06,0.13,0.76,1.0,1.24,1.3,2.13,1.72,2.7,3.86,3.75,3.8
g_1,0.04,0.04,0.04,0.06,0.06,0.11,0.52,0.84,1.0,0.92,1.17,1.85,2.15,2.87,3.17,3.13
d_0,0.03,0.03,0.03,0.07,0.07,0.11,0.66,0.77,1.09,1.0,1.36,1.44,2.18,2.74,2.88,2.83
b_0,0.02,0.03,0.03,0.06,0.05,0.09,0.56,0.5,0.84,0.76,1.0,1.45,1.96,3.17,2.43,2.79
f_0,0.02,0.03,0.02,0.04,0.04,0.07,0.39,0.57,0.56,0.67,0.72,1.0,1.52,2.19,1.58,3.21
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.29,0.38,0.46,0.45,0.51,0.67,1.0,1.14,1.61,1.38
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.26,0.27,0.36,0.42,0.31,0.51,0.88,1.0,1.17,1.24
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.28,0.31,0.32,0.38,0.64,0.61,0.82,1.0,1.23
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.22,0.27,0.31,0.37,0.34,0.32,0.68,0.81,0.76,1.0
