,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.44,37.32,34.59,35.92,38.66,34.32,7.86,,6.99,7.35,7.25,7.69,3.15,8.99,5.49,2.95
e_1,28.86,0.44,19.14,28.95,41.35,35.53,12.65,5.43,11.87,7.5,10.26,7.61,5.27,4.88,,6.35
f_1,39.47,42.45,0.44,33.28,32.98,51.55,5.66,7.36,12.33,6.12,,7.27,2.98,6.81,5.81,5.35
c_1,39.77,31.39,32.29,0.43,31.25,44.48,9.17,3.5,10.96,,5.34,7.93,5.26,9.76,,6.73
b_1,41.24,41.88,54.64,22.86,0.39,34.45,10.29,5.34,10.99,11.48,5.59,,5.71,12.13,8.09,6.44
a_1,34.66,42.49,39.91,47.71,24.76,0.34,16.62,6.44,13.65,12.65,11.01,12.57,8.07,,,6.22
h_1,16.61,19.25,15.54,22.87,15.43,19.65,0.36,4.98,7.44,2.95,3.55,3.51,,2.89,4.12,2.49
d_0,,8.41,16.46,16.2,16.33,11.93,4.97,0.52,4.41,3.04,3.29,2.69,1.86,3.04,2.24,2.69
g_1,25.54,20.57,17.61,21.56,22.38,21.15,3.75,5.64,0.33,5.64,3.11,3.69,2.61,,3.74,
c_0,8.13,16.39,15.17,,18.58,15.32,4.22,3.62,3.58,0.48,4.42,4.18,2.91,2.97,3.17,1.75
f_0,15.16,19.12,,16.16,18.91,14.3,5.82,3.88,2.57,3.83,0.48,3.57,2.42,2.65,3.69,1.47
b_0,23.61,16.64,16.28,22.65,,18.4,5.78,4.17,3.44,1.77,3.19,0.45,2.04,5.05,4.2,2.16
h_0,13.05,13.93,16.55,8.69,13.63,13.25,,2.65,3.29,2.45,2.64,2.11,,2.84,1.87,1.53
a_0,16.95,21.37,24.39,28.0,26.82,,4.65,4.39,,5.56,4.04,1.84,3.16,0.39,,2.59
e_0,28.17,,28.83,,17.17,,4.8,3.76,5.18,4.57,2.17,4.72,2.8,,0.39,3.03
g_0,16.05,17.63,15.97,10.85,12.23,14.39,3.14,3.08,,2.0,2.55,3.36,1.6,3.13,2.7,
