,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,15.28,1.33,0.51,0.56,0.43,0.44,0.99,0.79,0.94,0.84,0.95,0.37,0.78,0.83,0.43,1.02
e_1,0.68,15.63,0.43,0.83,0.47,0.52,0.81,0.75,1.82,0.71,1.1,1.09,0.93,1.06,0.55,0.81
d_1,0.59,0.45,18.54,0.37,0.53,0.67,0.92,0.91,0.41,2.35,1.17,1.08,1.06,0.97,1.18,0.99
c_1,0.41,0.5,0.45,18.41,1.51,0.57,0.87,0.72,0.99,0.31,0.48,0.94,0.84,0.56,0.88,0.92
b_1,0.61,0.39,0.68,0.49,19.42,1.33,0.83,0.97,0.68,0.9,0.39,0.9,1.02,1.03,1.16,0.9
a_1,0.65,0.53,0.76,0.66,0.47,29.94,0.85,0.92,0.81,0.88,0.91,0.65,1.01,0.5,0.67,0.75
h_1,1.21,0.86,0.72,0.66,0.68,0.5,4.8,1.43,1.12,0.76,1.15,0.97,0.89,1.19,1.21,1.97
g_1,0.66,0.57,1.46,0.74,0.63,0.62,0.94,5.81,0.84,1.14,1.22,2.16,1.4,1.03,1.57,0.75
d_0,0.84,0.81,0.27,1.86,0.77,0.62,1.14,1.22,3.08,0.7,1.07,1.25,1.15,0.98,1.29,1.17
c_0,0.92,0.56,0.94,0.41,0.45,0.67,1.05,1.5,1.14,3.72,3.78,1.31,1.62,1.5,1.68,1.37
b_0,0.74,0.71,0.86,0.76,0.45,0.44,1.17,1.19,1.34,1.34,4.33,1.51,1.56,3.59,1.38,1.49
f_0,0.39,0.52,0.92,0.66,0.76,0.89,1.25,1.03,1.17,1.56,1.44,4.64,1.6,1.58,4.77,1.63
h_0,0.92,0.61,1.04,0.82,0.63,0.74,0.75,1.76,1.13,1.03,1.27,1.27,0.6,1.23,1.47,1.89
a_0,0.74,0.57,1.22,0.76,0.68,0.36,1.32,1.57,0.99,1.14,1.34,1.54,1.6,4.12,1.43,1.25
e_0,0.78,0.35,1.05,0.93,0.79,0.68,1.5,1.06,1.24,1.01,1.42,1.27,1.49,1.37,4.75,1.34
g_0,0.61,0.72,1.59,0.64,0.5,0.58,1.18,1.21,0.82,1.27,1.26,2.39,1.18,1.39,1.51,0.5
