,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.06,2.21,1.93,1.99,1.66,1.43,0.61,0.82,0.55,0.56,0.81,0.59,0.37,0.4,0.5,0.55
e_1,1.36,1.06,2.31,2.28,2.14,2.14,0.87,0.87,0.6,0.75,0.8,0.58,0.45,0.91,0.64,0.49
d_1,2.32,2.21,1.05,1.99,1.87,1.69,0.8,0.52,0.73,0.8,0.56,0.63,0.45,0.54,0.45,0.33
c_1,2.37,1.99,2.81,1.06,3.06,1.9,0.85,0.92,0.91,0.43,0.62,0.62,0.47,0.66,0.59,0.47
b_1,2.93,2.76,2.25,1.4,1.06,2.39,0.93,0.92,0.85,0.8,0.68,0.9,0.73,0.66,0.63,0.54
a_1,4.21,3.43,3.58,3.46,2.18,1.07,1.44,1.39,1.18,1.19,1.08,1.27,0.94,0.96,1.51,0.79
h_1,6.12,5.21,5.66,5.31,5.3,3.81,1.31,2.04,1.58,1.5,1.7,1.41,1.47,1.27,1.35,1.41
g_1,6.04,5.85,6.7,5.79,6.47,5.75,2.15,1.32,1.65,1.76,2.04,1.71,1.13,1.63,1.57,1.34
c_0,7.6,7.9,3.99,10.01,5.78,4.9,2.83,2.75,1.49,3.04,1.91,2.68,1.55,1.82,1.67,1.31
d_0,7.12,4.48,9.56,8.41,7.16,5.97,3.09,2.97,1.8,1.54,1.92,1.98,1.52,2.34,2.17,1.64
f_0,10.28,5.75,7.11,8.13,6.35,6.39,2.65,1.75,2.05,2.29,1.49,2.04,1.7,3.0,1.87,1.02
b_0,7.35,6.36,6.6,9.32,9.26,5.63,3.12,2.6,1.28,2.26,1.94,1.51,1.72,1.89,2.2,1.5
h_0,9.91,9.39,9.37,9.99,7.83,8.08,4.54,3.82,2.58,2.65,2.44,2.47,2.63,2.05,2.27,1.87
e_0,15.13,10.78,8.3,10.69,9.5,6.32,4.42,3.61,2.45,2.53,1.5,2.65,2.56,1.53,2.3,1.76
a_0,10.86,9.35,10.12,11.7,11.0,9.08,3.53,3.63,2.56,3.05,2.46,1.6,2.31,2.34,1.61,2.04
g_0,11.99,10.77,12.38,11.17,10.86,9.49,2.93,4.8,3.18,2.98,3.48,3.2,2.26,2.72,2.3,3.04
