,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,2.1,1.69,1.88,1.94,1.78,0.44,0.41,0.36,0.64,0.39,0.82,0.32,0.2,0.32,0.34
c_1,1.93,0.43,1.57,2.02,3.46,2.05,0.5,0.22,0.88,0.57,0.39,0.35,0.48,0.27,0.41,0.33
e_1,1.29,2.32,0.42,2.18,1.96,2.25,0.6,0.47,0.44,0.68,0.45,0.55,0.37,0.38,1.16,0.35
b_1,2.63,1.09,2.17,0.41,2.23,2.3,0.77,0.49,0.64,0.75,0.9,0.44,0.51,0.33,0.41,0.33
d_1,2.24,2.3,2.99,2.14,0.4,1.62,0.57,1.13,0.43,0.35,0.41,0.44,0.51,0.37,0.39,0.18
a_1,2.85,3.05,3.19,1.48,2.28,0.34,0.88,0.68,0.53,0.89,0.68,0.51,1.42,0.41,0.6,0.43
h_1,3.71,3.83,2.76,3.15,3.67,3.11,0.32,0.76,0.78,1.26,0.77,0.68,0.69,1.22,0.66,0.45
d_0,4.06,3.45,2.06,4.29,6.83,4.56,1.11,0.4,0.76,1.16,0.6,0.63,0.71,0.41,0.78,0.49
c_0,3.67,9.72,3.67,3.96,1.87,4.2,1.17,1.27,0.37,1.0,0.72,0.65,0.84,0.54,0.74,0.56
g_1,3.45,4.07,4.32,3.56,3.49,4.02,0.81,0.92,0.8,0.29,0.87,0.81,0.86,0.41,0.73,1.14
b_0,3.29,7.66,4.05,7.45,3.15,4.12,1.16,1.19,0.45,1.25,0.36,0.71,0.82,0.52,0.78,0.68
f_0,8.21,5.42,4.81,4.01,3.0,3.67,1.3,0.9,0.71,0.74,0.9,0.34,0.79,0.73,0.72,0.38
a_0,4.85,6.18,4.56,6.36,4.12,8.02,1.36,1.07,0.75,1.49,0.44,0.94,0.31,0.73,0.83,0.65
h_0,4.15,5.02,4.69,5.54,4.23,5.16,2.22,0.9,0.91,1.22,0.87,0.92,0.74,1.13,0.92,0.63
e_0,5.86,5.36,14.2,4.18,4.27,4.81,1.86,1.0,0.93,1.31,0.91,0.51,0.9,0.68,0.32,0.51
g_0,4.86,5.06,4.88,5.43,4.62,4.98,1.21,1.17,1.03,2.3,0.8,1.04,1.16,0.67,0.81,1.23
