,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,5.79,1.12,0.59,0.59,0.48,0.49,1.94,2.79,2.3,2.94,0.62,2.83,2.11,4.51,2.19,4.79
e_1,0.56,5.79,0.51,0.63,0.66,0.62,2.19,5.65,2.17,3.05,3.14,2.93,3.19,4.8,0.57,3.63
d_1,0.56,0.78,6.37,0.47,0.43,0.66,2.0,0.71,2.0,5.64,3.22,3.49,2.63,3.86,3.28,4.49
c_1,0.63,0.43,0.51,6.6,1.17,0.55,2.32,3.53,1.64,0.48,2.93,2.44,2.91,4.58,3.4,5.3
b_1,0.7,0.46,0.63,0.59,7.25,1.16,2.08,2.54,2.18,2.39,3.64,0.49,2.97,3.99,3.51,3.61
a_1,0.67,0.52,0.56,0.63,0.63,10.99,2.37,3.11,2.07,2.78,2.61,3.27,,3.33,2.99,3.63
h_1,1.4,0.97,1.16,1.07,0.97,0.73,14.43,4.5,4.52,5.03,4.88,4.76,4.89,2.5,4.37,9.27
d_0,1.15,0.96,0.35,2.35,0.93,0.72,4.18,12.94,3.65,4.3,5.66,4.84,5.33,8.8,5.45,7.87
g_1,0.69,0.98,1.85,0.9,0.94,1.12,3.78,4.32,19.25,4.13,6.14,5.91,4.66,8.45,5.43,3.1
c_0,1.54,0.87,1.03,0.32,0.96,0.92,4.95,4.42,5.41,14.41,6.29,10.59,8.21,8.85,5.04,7.35
f_0,0.47,0.95,1.23,1.34,0.89,0.93,4.69,5.79,4.55,5.4,15.99,6.4,7.45,10.16,12.89,7.82
b_0,1.29,0.93,1.51,1.09,0.42,0.53,4.27,4.25,3.58,5.92,5.78,16.64,13.11,8.77,5.52,7.74
a_0,1.24,1.21,1.27,0.96,0.93,,4.48,4.04,4.19,4.25,6.14,4.63,20.1,6.85,6.17,8.28
h_0,1.32,0.88,1.35,1.21,0.83,0.87,1.32,4.63,4.79,4.86,5.3,4.88,5.45,2.67,5.58,9.09
e_0,0.96,0.57,1.09,1.41,1.34,1.28,3.88,4.7,4.29,4.94,6.28,5.19,6.33,8.45,22.02,6.59
g_0,0.9,0.94,1.99,1.16,0.78,0.88,3.61,4.05,1.77,4.37,8.74,4.33,5.7,7.42,6.59,
