,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.21,0.96,0.97,0.9,0.67,0.38,0.45,0.4,0.35,0.37,0.31,0.29,0.27,0.33,0.24
e_1,0.83,1.0,0.96,1.0,0.87,0.75,0.58,0.46,0.62,0.45,0.45,0.46,0.38,0.35,0.33,0.32
d_1,1.05,1.04,1.0,0.93,0.81,0.79,0.47,0.35,0.41,0.59,0.47,0.38,0.34,0.37,0.26,0.35
c_1,1.04,1.0,1.07,1.0,1.26,0.75,0.48,0.41,0.32,0.38,0.33,0.35,0.34,0.35,0.31,0.27
b_1,1.11,1.15,1.21,0.8,1.0,1.19,0.59,0.57,0.51,0.48,0.37,0.47,0.37,0.42,0.36,0.39
a_1,1.5,1.33,1.25,1.33,0.83,1.0,0.77,0.65,0.55,0.58,0.52,0.46,0.62,0.59,0.4,0.41
h_1,2.59,1.77,2.06,2.11,1.71,1.33,1.0,1.12,0.89,0.88,0.78,0.71,0.63,0.75,0.72,0.64
g_1,2.21,2.28,2.88,2.4,1.74,1.51,0.88,1.0,0.74,0.89,0.87,0.93,0.63,0.64,0.74,0.62
d_0,2.32,1.68,2.62,3.19,2.09,1.72,1.08,1.3,1.0,0.85,0.89,0.81,0.81,0.86,0.67,0.66
c_0,2.85,2.32,1.64,2.39,1.97,1.74,1.08,1.17,1.25,1.0,1.47,0.98,0.94,0.88,0.76,0.76
b_0,2.73,2.24,2.13,3.0,2.78,1.69,1.3,1.14,1.15,0.71,1.0,0.82,1.32,1.02,0.86,0.77
f_0,2.99,2.28,2.63,2.78,2.24,2.18,1.43,1.02,1.23,1.0,1.19,1.0,0.94,0.98,0.69,1.45
a_0,3.37,2.65,2.78,2.83,2.89,1.97,1.57,1.49,1.24,1.01,0.89,1.05,1.0,0.99,0.86,0.68
h_0,3.84,2.88,2.81,2.87,2.46,1.62,1.31,1.63,1.16,1.13,0.98,1.01,0.98,1.0,0.97,0.88
g_0,3.28,3.13,3.73,3.14,2.74,2.4,1.41,1.37,1.43,1.29,1.18,1.48,1.21,1.03,1.0,0.98
e_0,4.03,3.3,3.03,3.66,2.61,2.21,1.48,1.61,1.38,1.25,1.31,0.67,1.43,1.18,1.0,1.0
