,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,11.63,1.72,0.62,0.68,0.61,0.52,0.81,1.04,0.74,0.74,0.9,0.6,0.89,0.96,0.87,0.76
e_1,0.82,10.0,0.53,1.09,0.65,0.63,1.0,2.28,0.89,0.89,1.03,1.06,0.87,1.0,0.93,0.73
d_1,0.66,0.68,14.35,0.5,0.61,0.72,0.94,0.58,0.94,2.56,1.29,1.16,1.18,1.03,1.1,1.16
c_1,0.65,0.59,0.75,10.9,1.76,0.8,0.8,0.68,0.98,0.52,0.53,0.93,1.1,0.82,0.87,0.86
b_1,0.62,0.55,0.71,0.88,12.76,1.92,0.89,0.82,0.88,0.82,0.64,0.89,0.83,0.69,1.01,0.91
a_1,0.78,0.63,0.73,0.72,0.6,18.8,1.18,1.09,1.09,1.07,1.3,0.97,1.01,0.86,1.0,1.02
h_1,1.18,0.7,0.91,0.7,0.71,0.71,3.35,0.9,1.48,0.84,1.03,0.99,0.84,0.96,1.65,1.13
d_0,0.81,0.64,0.53,2.21,0.96,0.59,1.11,1.79,0.85,0.66,0.91,1.0,1.03,1.01,1.14,1.19
g_1,0.75,0.69,1.84,0.61,0.65,0.74,0.95,0.69,3.79,0.98,0.94,2.09,1.02,1.05,0.71,1.11
c_0,0.97,0.88,1.04,0.55,0.5,0.64,1.19,1.12,1.05,2.36,3.66,1.12,1.18,1.82,1.36,1.28
b_0,0.91,0.83,1.1,0.67,0.46,0.52,1.42,1.11,1.13,1.38,2.58,1.21,1.35,3.29,1.24,1.29
f_0,0.62,0.55,0.95,0.77,1.04,0.74,1.31,1.14,1.28,1.11,1.29,2.33,1.19,1.09,0.95,3.23
h_0,1.17,0.68,0.87,0.76,0.85,0.66,0.68,0.75,1.67,0.82,1.01,1.05,0.96,0.98,1.41,1.07
a_0,0.88,0.66,0.96,0.91,0.81,0.6,1.43,1.08,1.11,1.0,1.09,1.01,1.2,2.63,1.13,1.03
g_0,0.61,0.66,1.48,0.81,0.78,0.89,0.96,0.82,0.9,1.08,1.16,1.71,1.18,1.0,0.75,1.35
e_0,0.94,0.48,1.1,0.69,0.87,0.78,1.28,0.79,1.39,1.01,1.43,1.2,1.55,1.24,1.1,3.54
