,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.74,0.72,0.59,0.45,0.51,0.62,0.97,0.81,1.63,0.38,1.17,1.12,1.09,1.13,0.86,1.24
f_1,0.63,2.79,1.06,0.52,0.6,0.41,0.84,0.78,0.88,0.94,0.96,0.4,1.07,0.9,0.61,0.84
e_1,0.56,0.61,3.06,0.8,0.56,0.52,0.82,0.82,0.98,1.83,1.08,0.99,1.02,0.97,0.49,0.92
c_1,0.58,0.63,0.52,3.15,1.07,0.7,0.86,0.95,0.28,0.84,0.56,0.99,0.82,0.92,0.95,0.78
b_1,0.65,0.63,0.51,0.62,3.64,1.22,0.83,0.92,0.85,0.95,0.25,0.79,0.67,0.78,0.86,0.79
a_1,0.53,0.56,0.51,0.77,0.77,4.96,1.05,0.79,0.77,0.89,0.95,1.06,0.18,1.01,1.39,1.14
h_1,0.89,1.07,0.65,0.64,0.57,0.48,3.0,1.4,1.12,0.95,1.34,1.09,0.98,0.73,1.3,1.5
g_1,1.13,0.63,0.62,0.66,0.57,0.67,1.11,3.65,0.9,0.92,1.35,1.82,1.19,1.39,1.55,0.73
c_0,0.96,0.77,0.94,0.5,0.53,0.62,1.1,1.1,2.42,1.03,2.32,1.2,1.44,1.12,1.3,1.34
d_0,0.46,0.75,0.75,1.57,0.75,0.63,0.99,1.11,0.65,2.1,1.0,0.97,1.17,1.22,1.03,0.91
b_0,0.92,0.86,0.65,0.97,0.32,0.43,1.19,1.24,1.11,1.11,2.53,1.17,2.11,1.14,1.26,1.19
f_0,0.94,0.34,0.67,0.78,0.77,0.72,1.31,1.35,1.4,1.03,1.23,2.96,1.2,1.2,3.28,1.48
a_0,0.75,0.78,0.76,0.99,0.68,0.38,1.12,1.18,1.12,1.07,1.3,1.1,3.22,1.46,1.2,1.1
h_0,0.85,1.1,0.73,0.84,0.59,0.66,0.58,1.54,1.11,1.04,1.15,1.16,1.26,0.72,0.96,1.37
e_0,0.83,0.69,0.46,0.91,0.96,0.85,1.09,1.05,1.16,1.08,1.17,1.08,1.05,1.5,3.73,1.08
g_0,1.36,0.72,0.69,0.71,0.65,0.55,1.15,0.73,1.23,0.91,1.19,1.76,1.12,1.3,1.53,0.83
