,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,15.62,1.3,0.47,0.53,0.45,0.43,0.81,0.79,0.77,0.76,0.88,0.3,0.94,0.52,0.88,0.81
e_1,0.57,17.1,0.48,0.69,0.39,0.52,0.9,0.94,0.72,2.19,1.17,1.17,1.0,0.5,0.91,1.01
d_1,0.54,0.42,18.84,0.43,0.67,0.59,0.87,0.8,2.32,0.29,1.0,1.06,0.9,1.14,0.87,0.95
c_1,0.52,0.47,0.47,21.18,1.16,0.54,0.79,0.84,0.25,0.87,0.74,0.82,0.9,0.83,0.78,0.86
b_1,0.61,0.41,0.66,0.43,21.57,1.06,0.81,0.84,0.73,0.86,0.36,1.02,0.9,0.9,0.69,0.79
a_1,0.63,0.35,0.57,0.61,0.48,36.05,1.08,0.75,1.16,0.82,0.95,0.75,0.97,1.42,0.45,0.99
h_1,0.99,0.58,0.67,0.77,0.63,0.64,5.55,1.29,0.93,0.95,1.04,1.25,0.62,0.89,1.34,1.93
g_1,0.5,0.52,1.32,0.63,0.64,0.6,1.06,6.96,0.83,0.81,1.19,2.35,1.11,1.07,1.14,0.75
c_0,0.72,0.79,0.75,0.37,0.49,0.63,1.07,1.22,3.28,1.25,3.02,1.36,1.33,1.48,1.75,1.53
d_0,0.75,0.66,0.34,1.92,0.6,0.53,1.21,1.01,0.62,3.27,1.11,1.01,1.35,1.34,1.06,1.25
b_0,0.68,0.73,0.67,0.8,0.33,0.6,1.36,1.26,1.08,1.37,3.4,1.4,1.67,1.37,3.66,1.37
f_0,0.3,0.47,0.94,0.88,0.78,0.67,1.12,1.21,1.28,1.33,1.35,3.94,1.67,3.4,1.44,1.42
h_0,1.0,0.81,0.75,0.86,0.45,0.52,0.59,1.6,1.27,1.2,1.13,1.19,0.6,1.04,1.37,1.49
e_0,0.98,0.29,0.81,0.61,0.67,0.8,1.52,1.2,1.2,0.95,1.21,0.76,1.88,5.72,1.55,1.36
a_0,0.77,0.47,0.87,0.68,0.68,0.27,1.39,1.34,1.5,0.97,1.35,1.41,1.43,1.54,5.11,1.85
g_0,0.46,0.58,1.4,0.81,0.57,0.67,0.95,0.72,1.43,0.97,1.41,2.19,1.43,1.53,1.33,0.66
