,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,3.99,0.42,0.32,0.31,0.42,0.37,0.69,0.77,1.6,0.93,0.21,0.92,0.9,0.64,0.9,1.02
f_1,0.36,4.02,0.74,0.33,0.37,0.46,0.75,0.57,0.72,0.86,0.72,0.13,0.65,0.81,0.69,0.79
e_1,0.33,0.4,4.05,0.49,0.44,0.38,0.75,0.69,0.7,0.68,1.71,0.77,0.87,0.67,0.15,0.61
c_1,0.42,0.33,0.42,4.47,0.65,0.27,0.73,0.81,0.16,0.61,0.98,0.98,0.79,0.85,0.77,0.92
b_1,0.35,0.48,0.37,0.32,4.96,0.82,0.74,0.59,0.79,0.12,0.55,0.7,0.8,0.89,0.7,0.88
a_1,0.4,0.44,0.45,0.37,0.23,6.41,0.84,0.66,0.82,1.03,0.85,0.66,1.24,0.19,1.01,0.79
h_1,0.82,0.93,0.49,0.76,0.67,0.49,5.16,1.64,1.29,1.41,0.86,1.27,0.49,1.34,1.51,2.05
g_1,1.23,0.52,0.52,0.73,0.62,0.55,1.16,5.92,1.09,1.27,0.9,2.07,1.7,1.27,1.3,0.67
c_0,0.8,0.77,0.67,0.28,0.62,0.76,1.35,1.49,3.93,3.16,1.39,2.02,1.9,1.73,1.67,1.75
b_0,0.78,0.82,0.69,0.84,0.24,0.53,1.4,1.34,1.46,3.97,1.57,1.73,1.69,3.0,1.55,1.48
d_0,0.21,0.66,0.71,1.64,0.56,0.5,1.21,1.39,1.16,1.32,3.64,1.44,1.66,1.62,1.44,1.08
f_0,0.79,0.42,0.59,0.84,0.94,0.58,1.17,1.42,1.2,1.52,1.28,4.49,1.77,1.3,3.49,1.66
h_0,0.92,0.8,0.59,0.7,0.66,0.5,0.63,1.67,1.33,1.67,1.42,1.7,0.69,1.35,1.88,1.82
a_0,0.8,0.79,0.56,0.79,0.63,0.19,1.65,1.43,1.53,1.55,1.71,1.96,2.0,5.87,1.42,2.34
e_0,0.87,0.74,0.13,0.93,0.67,0.66,1.33,1.76,1.36,1.75,1.14,1.52,1.81,2.16,6.18,1.77
g_0,1.09,0.54,0.5,0.64,0.8,0.65,1.4,0.59,1.34,1.47,1.44,2.41,1.39,1.16,1.53,0.8
