,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.01,0.12,0.1,0.1,0.11,0.15,0.16,0.18,0.33,0.23,0.46,,0.28,0.41,0.37,0.45
e_1,0.05,0.01,0.09,0.1,0.08,0.19,0.23,0.2,0.3,0.27,0.22,0.33,0.29,,0.5,0.46
d_1,0.07,0.06,0.01,0.07,0.09,0.11,0.12,,0.14,0.23,0.2,0.21,0.28,0.31,0.32,0.18
c_1,0.05,0.05,0.07,0.01,0.08,0.13,0.15,0.07,0.12,,0.2,0.23,0.26,0.29,0.23,0.22
b_1,0.04,0.04,0.04,0.03,,,0.09,0.1,0.09,0.08,,0.08,0.1,,,0.1
a_1,0.02,0.01,0.01,0.01,,,0.02,0.04,,0.05,0.05,0.05,0.04,,,0.06
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
