,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.65,1.25,1.35,1.29,1.07,0.47,0.65,0.47,0.42,0.45,0.78,0.32,0.39,0.41,0.35
e_1,0.87,0.66,1.63,1.46,1.42,1.51,0.62,0.69,0.72,0.58,0.6,0.62,0.42,0.57,0.47,0.81
d_1,1.51,1.59,0.65,1.58,1.55,1.18,0.68,0.46,0.81,0.53,0.52,0.44,0.43,0.47,0.28,0.47
c_1,1.48,1.32,1.64,0.64,1.55,1.43,0.68,0.61,0.33,0.69,0.47,0.52,0.43,0.56,0.42,0.46
b_1,1.76,1.4,1.6,0.98,0.62,1.72,0.86,0.75,0.63,0.72,0.93,0.55,0.49,0.5,0.53,0.59
a_1,2.22,1.61,1.86,1.83,1.01,0.57,0.99,0.88,0.69,0.76,0.75,0.68,0.65,1.08,0.51,0.62
h_1,2.58,2.27,1.93,1.97,1.89,1.83,0.58,1.01,0.85,0.77,0.75,0.7,0.85,0.65,0.83,0.76
g_1,2.19,2.46,2.43,2.56,2.31,1.97,0.84,0.56,1.03,0.84,0.83,0.98,0.57,0.8,0.84,0.78
d_0,2.58,1.37,3.47,3.04,2.26,2.22,1.09,1.03,0.62,0.78,0.86,0.75,0.75,0.88,0.83,0.87
c_0,3.26,2.47,1.57,3.5,2.32,2.0,0.98,1.11,1.01,0.62,1.06,0.68,0.82,0.96,0.74,0.88
b_0,2.96,2.12,1.96,3.53,3.88,2.04,1.15,1.09,0.84,0.52,0.6,0.79,0.7,0.95,0.65,0.8
f_0,3.64,2.32,2.57,2.49,2.75,2.39,1.27,0.76,1.03,1.13,1.0,0.59,0.8,0.82,0.54,1.11
h_0,2.99,3.03,2.48,2.7,2.31,1.93,1.63,1.32,1.07,0.82,0.98,0.92,0.99,0.87,0.87,0.72
a_0,3.36,2.85,2.86,2.54,3.35,3.3,1.32,1.15,1.19,0.82,0.68,1.04,0.82,0.57,0.81,0.81
g_0,3.09,2.91,3.23,3.37,2.81,2.82,0.9,1.66,1.2,0.94,1.04,1.05,0.68,0.98,1.01,0.93
e_0,4.45,3.59,2.7,3.18,2.96,3.06,1.3,1.43,0.95,0.84,1.05,0.59,0.99,0.9,0.87,0.56
