,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.44,2.33,1.3,1.28,1.03,1.08,4.75,4.08,5.92,5.17,5.11,2.24,8.58,5.43,3.57,8.6
e_1,1.43,5.63,1.04,1.62,1.33,1.1,4.75,3.08,5.73,12.28,6.1,6.37,10.06,7.44,3.32,11.04
d_1,1.33,1.21,6.53,1.1,1.17,1.48,5.1,5.49,11.72,2.22,7.34,6.94,8.72,6.03,5.78,10.02
c_1,1.31,1.07,1.34,6.85,2.38,1.24,3.9,4.27,2.08,5.74,4.77,6.45,9.19,5.89,7.26,7.5
b_1,1.32,1.11,1.21,1.51,7.6,2.4,3.81,4.82,5.74,5.42,2.85,5.67,9.43,4.61,5.93,7.89
a_1,1.42,1.06,1.35,1.23,1.33,11.08,5.78,5.88,6.38,6.92,7.72,6.29,9.23,3.94,6.25,10.02
h_1,2.08,1.52,1.54,1.6,1.25,1.33,17.03,8.13,7.5,6.29,7.87,6.25,7.52,9.26,9.12,14.02
g_1,1.25,1.25,2.76,1.3,1.61,1.66,4.43,20.3,9.4,3.97,8.86,14.18,10.48,8.34,10.25,8.35
c_0,2.02,1.48,1.93,1.06,1.09,1.31,6.84,6.42,15.21,7.98,15.11,9.8,12.84,9.84,9.77,14.58
d_0,1.82,1.49,0.74,3.27,1.54,1.14,6.62,5.23,4.5,15.07,8.01,5.9,12.61,7.43,8.01,10.5
b_0,1.87,1.58,2.02,1.57,0.72,1.36,6.96,6.16,7.72,7.35,17.8,8.42,12.36,15.16,10.06,12.24
f_0,0.84,1.37,1.74,1.49,1.72,2.11,5.74,6.71,7.05,8.81,10.0,21.88,14.32,10.49,23.3,12.19
h_0,2.44,1.63,1.75,1.48,1.83,1.54,2.39,6.81,6.37,6.3,7.13,6.8,6.97,8.16,9.12,12.71
a_0,1.96,1.44,1.88,1.89,1.71,0.69,5.81,5.21,7.6,7.72,8.29,6.22,13.36,23.84,6.97,13.02
e_0,1.62,0.77,2.04,1.63,1.62,1.42,6.26,8.2,7.32,9.13,8.82,10.47,13.01,13.57,29.24,11.5
g_0,1.47,1.36,2.71,1.63,1.45,1.39,5.97,4.12,7.64,5.78,7.63,11.56,12.17,8.35,10.62,6.33
