,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.63,2.52,1.36,1.68,1.49,1.23,5.47,7.1,5.4,5.84,7.6,3.15,9.66,5.6,4.98,9.02
e_1,1.8,5.82,1.3,1.79,1.25,1.56,5.41,13.12,5.04,6.65,6.94,8.18,10.81,7.86,5.18,10.44
d_1,1.79,1.46,6.35,0.97,1.43,1.61,5.64,3.39,5.75,14.31,9.17,8.28,12.72,10.67,9.77,10.67
c_1,1.53,1.38,1.4,6.72,2.89,1.25,5.55,7.73,4.81,2.61,6.28,7.21,11.78,6.95,6.86,8.71
b_1,1.25,1.56,1.75,1.59,7.8,3.38,5.44,6.22,5.06,5.77,3.07,6.83,7.86,4.85,4.97,10.69
a_1,1.62,1.41,1.76,1.59,1.4,10.82,5.18,6.18,5.79,7.27,7.85,10.45,12.45,5.05,9.32,13.32
h_1,2.63,1.51,2.11,1.9,1.63,1.58,16.14,8.59,10.18,8.67,9.3,8.08,9.22,9.58,11.02,17.43
d_0,2.06,1.79,0.85,3.75,1.9,1.54,6.6,15.55,5.76,6.32,7.75,10.13,13.62,7.62,10.86,14.42
g_1,1.63,1.54,2.99,1.83,1.91,1.66,5.62,7.41,19.77,7.68,11.56,16.94,12.58,10.43,10.04,9.89
c_0,2.02,1.48,2.18,1.33,1.6,1.92,7.81,7.33,9.9,17.31,19.34,10.72,14.63,13.51,10.54,15.61
b_0,1.96,2.02,2.3,2.0,0.88,1.23,7.96,9.1,8.35,8.33,19.15,10.78,12.24,22.68,11.99,13.41
f_0,1.18,1.44,2.57,2.0,2.24,1.75,5.99,7.74,8.39,9.14,10.57,21.5,16.41,10.8,21.59,15.22
h_0,2.39,1.6,1.91,1.85,1.83,2.28,4.36,8.33,8.33,8.66,10.18,9.88,9.66,9.59,10.96,16.81
a_0,2.01,1.77,2.27,2.16,1.97,0.72,7.6,8.19,6.79,10.13,10.18,10.06,13.87,24.77,8.92,13.14
e_0,1.87,0.93,2.27,1.87,2.44,1.91,8.28,10.19,8.66,9.83,10.83,10.65,15.07,8.01,27.14,21.54
g_0,1.45,1.35,3.22,1.86,1.99,1.74,7.37,6.98,6.28,8.35,10.06,17.31,12.96,10.98,10.34,10.95
