,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.04,1.64,1.48,1.38,1.2,0.98,0.43,0.54,0.48,0.42,0.4,0.42,0.29,0.37,0.31,0.35
e_1,1.11,1.05,1.72,1.47,1.65,1.31,0.58,0.57,0.58,0.45,0.44,0.58,0.38,0.4,0.36,0.5
c_1,1.59,1.31,1.05,1.85,1.59,1.37,0.65,0.59,0.32,0.46,0.43,0.46,0.35,0.38,0.36,0.4
d_1,1.79,1.77,1.7,1.04,1.57,1.34,0.54,0.43,0.59,0.5,0.44,0.43,0.36,0.41,0.26,0.39
b_1,2.32,1.75,1.27,2.01,1.05,1.8,0.76,0.71,0.54,0.69,0.73,0.54,0.45,0.52,0.44,0.4
a_1,2.91,2.53,2.37,2.39,1.57,1.06,1.03,0.98,0.94,0.74,0.76,0.87,0.7,0.9,0.57,0.65
h_1,4.97,4.4,4.32,4.43,3.81,3.43,1.24,1.59,1.35,1.31,1.25,1.21,1.17,1.05,0.98,1.06
g_1,5.21,5.17,4.75,4.94,4.68,4.3,1.7,1.26,1.43,1.38,1.43,1.43,0.99,1.32,1.08,1.24
d_0,4.72,3.59,6.3,5.57,5.18,4.14,2.05,2.0,1.34,1.29,1.52,1.55,1.31,1.55,1.25,1.46
c_0,6.12,6.02,7.62,3.98,5.06,4.52,2.11,1.99,2.32,1.37,1.77,1.62,1.43,1.81,1.26,1.54
b_0,6.46,6.12,7.9,5.33,6.41,5.25,2.17,1.85,1.93,1.12,1.36,1.55,1.36,1.77,1.16,1.35
f_0,7.57,6.41,6.09,5.89,5.63,5.33,2.48,1.69,1.84,1.66,1.78,1.34,1.45,1.58,0.97,1.75
h_0,7.32,6.46,6.76,6.02,6.08,4.82,2.51,2.38,2.05,1.72,1.84,1.65,1.75,1.72,1.42,1.46
a_0,7.57,7.36,8.26,7.54,8.35,6.32,2.89,2.33,2.13,1.64,1.36,2.02,1.61,1.41,1.49,1.92
g_0,9.03,8.48,8.7,8.55,7.4,6.06,2.67,2.95,2.54,2.14,2.29,2.45,1.77,2.15,1.95,2.25
e_0,11.0,9.14,9.15,7.97,9.53,8.48,3.57,2.63,2.59,1.95,2.47,1.49,2.0,1.86,1.53,1.43
