,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.72,1.09,0.94,0.96,0.76,0.81,0.8,0.81,0.84,0.66,0.65,0.54,0.65,0.61,0.58
f_1,1.39,1.0,0.94,1.11,0.8,0.85,0.6,0.61,0.59,0.61,0.62,0.59,0.51,0.46,0.44,0.59
d_1,0.92,1.06,1.0,0.86,1.03,0.98,0.74,0.62,0.82,0.81,0.57,0.62,0.53,0.52,0.7,0.41
c_1,1.07,0.9,1.16,1.0,1.36,0.94,0.79,0.58,0.37,0.49,0.66,0.56,0.62,0.62,0.57,0.56
b_1,1.04,1.24,0.98,0.74,1.0,1.22,0.88,0.71,0.72,0.68,0.76,0.81,0.61,0.7,0.5,0.66
a_1,1.32,1.18,1.02,1.06,0.82,1.0,0.85,0.82,0.77,0.92,0.75,0.74,0.81,0.74,0.85,0.66
h_1,1.23,1.76,1.36,1.31,1.16,1.18,1.0,1.4,0.86,0.91,0.83,0.9,0.97,0.93,0.8,1.12
g_1,1.29,1.62,1.7,1.67,1.36,1.14,0.72,1.0,0.9,0.74,1.09,0.96,0.87,0.79,0.67,1.05
c_0,1.28,1.8,1.24,,1.31,1.26,1.14,1.05,1.0,0.94,1.0,1.55,1.05,0.91,0.99,1.03
d_0,1.16,1.71,1.29,2.05,1.4,1.05,1.09,1.36,1.02,1.0,0.8,0.97,0.96,1.12,0.83,0.92
f_0,1.44,1.79,1.69,1.59,1.32,1.29,1.17,0.96,1.0,1.24,1.0,0.87,0.93,1.02,1.42,0.77
b_0,1.54,1.7,1.51,1.86,1.21,1.33,1.08,1.11,0.69,0.98,1.14,1.0,1.46,0.94,0.77,0.97
a_0,1.74,2.01,1.79,1.67,1.62,1.09,1.07,1.17,0.93,1.02,1.1,0.69,1.0,1.08,0.97,0.92
h_0,1.5,2.17,2.01,1.66,1.36,1.28,1.08,1.26,1.09,0.9,0.96,1.04,0.93,1.0,0.8,1.04
e_0,1.63,2.29,1.46,1.76,2.01,1.22,1.17,1.52,1.14,1.29,0.71,1.28,0.96,1.19,1.0,0.86
g_0,1.66,1.74,2.46,1.71,1.47,1.36,0.88,0.96,0.95,1.09,1.31,1.08,1.07,0.95,1.1,1.0
