,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.72,1.01,0.89,0.97,0.94,0.89,1.37,1.03,1.01,1.1,0.91,1.06,0.97,1.15,
f_1,1.4,1.0,1.04,0.88,1.1,1.35,0.97,1.0,1.02,1.14,,0.89,0.72,0.73,0.94,0.84
c_1,0.99,0.96,1.0,1.03,1.38,0.88,0.93,0.74,0.92,,1.01,1.02,1.2,0.93,1.3,0.87
d_1,1.12,1.14,0.97,1.0,0.98,0.89,0.97,,0.85,1.29,0.96,0.9,1.0,0.89,0.9,1.03
b_1,1.03,0.91,0.73,1.02,1.0,1.45,1.04,0.83,1.12,0.88,1.35,,1.19,,0.82,0.9
a_1,1.07,0.74,1.13,1.12,0.69,1.0,1.0,0.92,0.83,1.39,1.05,,1.12,,1.07,
h_1,1.12,1.04,1.07,1.03,0.96,1.0,1.0,0.98,1.16,0.94,0.87,0.89,,0.75,1.13,1.09
d_0,0.73,1.0,1.36,,1.21,1.09,1.02,1.0,1.0,0.94,1.01,0.98,0.93,0.98,1.06,0.96
g_1,0.97,0.98,1.08,1.18,0.89,1.2,0.86,1.0,1.0,0.92,1.05,1.08,0.78,,,
c_0,0.99,0.88,,0.77,1.14,0.72,1.06,1.07,1.08,1.0,1.11,1.57,1.0,0.97,0.98,0.74
f_0,0.91,,0.99,1.04,0.74,0.95,1.15,0.99,0.95,0.9,1.0,1.07,1.5,0.95,0.69,1.46
b_0,1.1,1.12,0.98,1.11,,,1.13,1.02,0.92,0.64,0.94,1.0,1.05,1.49,1.05,
h_0,0.94,1.39,0.84,1.0,0.84,0.89,,1.08,1.28,1.0,0.67,0.95,,0.93,1.31,0.9
a_0,1.03,1.36,1.08,1.13,,,1.33,1.02,,1.03,1.05,0.67,1.07,1.0,0.94,
g_0,0.87,1.06,0.77,1.11,1.22,0.93,0.88,0.94,,1.02,1.46,0.95,0.76,1.07,,1.2
e_0,,1.19,1.14,0.97,1.11,,0.92,1.05,,1.36,0.69,,1.11,,0.84,1.0
