,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,2.01,1.43,2.2,2.14,1.82,0.81,0.89,0.85,0.64,0.72,0.71,0.59,0.6,0.9,0.5
d_1,2.57,1.06,2.39,1.99,2.03,1.62,0.9,0.57,0.89,0.69,0.62,0.56,0.41,0.61,0.47,0.36
f_1,2.46,1.94,1.06,1.92,2.08,1.91,0.57,0.78,0.59,0.6,0.59,0.86,0.38,0.59,0.45,0.5
c_1,1.98,2.77,2.23,1.06,2.6,1.86,0.84,0.82,0.43,0.81,0.57,0.56,0.49,0.51,0.53,0.42
b_1,2.36,2.47,2.47,1.49,1.06,2.66,1.18,0.93,0.79,0.86,0.96,0.75,0.53,0.57,0.65,0.55
a_1,3.25,3.46,3.5,4.02,1.75,1.07,1.11,1.54,1.11,0.98,1.15,0.94,0.93,1.07,1.01,0.75
h_1,5.32,5.29,7.29,6.15,4.4,4.7,1.32,2.15,1.78,1.6,1.71,1.55,1.61,1.28,1.23,1.29
g_1,6.11,6.33,6.47,6.03,5.65,4.28,1.8,1.31,1.71,1.78,1.77,1.82,1.14,1.3,1.58,1.63
d_0,3.77,9.28,7.06,7.76,6.97,5.4,2.52,3.13,1.52,2.01,2.12,1.78,1.52,1.67,1.73,1.44
c_0,6.52,4.35,6.53,10.18,6.59,5.88,2.46,2.29,2.57,1.49,2.36,2.12,1.66,1.79,1.78,1.37
b_0,6.07,6.14,6.99,10.13,10.04,5.81,2.38,2.54,2.08,1.17,1.48,2.0,1.45,1.8,1.6,1.29
f_0,7.38,7.13,9.71,9.0,7.71,5.24,3.04,2.07,2.48,2.14,2.18,1.52,1.85,1.58,2.15,1.07
h_0,8.97,10.69,9.54,9.21,9.66,6.91,4.26,3.76,2.83,2.66,2.72,2.21,2.65,2.15,1.97,2.04
a_0,9.29,8.26,9.93,9.82,13.78,11.36,3.96,4.31,3.11,2.55,1.88,2.99,2.49,1.63,2.36,1.83
e_0,12.01,11.23,13.19,10.74,11.32,8.66,4.58,3.57,3.14,2.92,3.25,1.61,2.31,2.42,1.61,1.94
g_0,11.71,11.89,10.11,11.94,10.41,8.62,3.45,5.1,3.68,3.47,3.6,3.64,2.01,2.91,2.79,3.0
