,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.49,1.22,1.07,1.49,1.12,1.06,2.62,2.69,2.48,4.36,2.89,2.67,3.0,3.63,2.07,3.37
f_1,1.77,2.49,1.09,1.33,0.98,1.28,2.05,2.18,2.61,2.68,2.38,1.89,2.95,2.89,2.33,3.0
d_1,1.17,1.38,2.54,0.98,1.3,1.17,2.52,2.23,4.22,1.72,2.98,2.64,2.57,3.22,2.77,3.17
c_1,1.08,1.01,1.33,2.56,2.12,1.15,2.16,1.94,1.3,2.22,1.91,2.89,2.02,3.14,2.91,3.15
b_1,1.19,1.48,1.23,0.93,2.64,2.06,2.29,2.29,2.72,2.54,2.34,2.53,2.47,3.51,3.12,3.26
a_1,1.31,1.13,1.39,1.41,0.96,3.25,2.57,2.77,2.48,2.72,3.09,2.86,2.03,3.7,2.57,3.54
h_1,1.14,1.69,1.39,1.51,1.34,1.26,3.91,3.05,2.62,2.61,3.08,2.64,2.93,2.99,2.82,4.82
g_1,1.1,1.24,1.84,1.6,1.28,1.13,2.59,4.53,2.81,2.62,2.88,4.28,3.01,3.1,3.38,3.08
c_0,1.41,1.53,1.27,1.25,1.2,1.28,2.64,3.02,4.14,2.9,4.87,3.09,4.16,4.13,3.1,4.1
d_0,1.19,1.43,0.99,2.26,1.34,1.28,2.83,2.62,2.22,4.1,2.79,3.02,2.47,3.23,2.8,3.26
b_0,1.25,1.6,1.45,1.71,0.84,1.08,2.44,2.63,2.9,2.99,4.38,3.26,5.85,4.74,3.14,3.77
f_0,1.22,1.21,1.47,1.42,1.53,1.37,2.94,2.38,3.03,2.65,3.04,4.46,2.6,4.12,5.62,3.46
a_0,1.4,1.34,1.41,1.67,1.26,1.0,2.61,2.81,2.7,3.49,2.51,3.27,4.97,4.03,2.93,4.52
h_0,1.41,1.78,1.46,1.3,1.32,1.08,2.0,3.36,2.85,3.22,2.75,2.38,2.93,2.82,3.07,4.41
e_0,1.1,1.49,1.57,1.36,1.45,1.43,2.69,2.56,3.55,2.97,3.29,2.7,3.18,3.88,5.1,3.68
g_0,1.23,1.32,1.94,1.35,1.32,1.2,2.15,2.21,2.93,2.71,2.82,4.26,2.32,3.61,4.07,3.22
