,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.44,1.15,1.53,1.64,4.47,17.44,27.18,28.48,32.64,,47.55,81.93,69.14,75.07,149.9
e_1,0.7,1.0,1.04,1.6,1.44,4.3,18.73,27.6,28.76,47.13,36.88,37.45,71.28,,91.81,113.94
d_1,0.87,0.96,1.0,1.55,1.66,3.83,16.11,17.53,46.87,,33.42,35.92,64.13,100.56,63.67,88.73
c_1,0.65,0.62,0.65,1.0,1.51,3.07,12.16,19.35,,17.27,22.54,29.05,51.72,64.48,55.72,79.96
b_1,0.61,0.69,0.6,0.66,1.0,3.66,11.44,18.85,15.92,27.41,28.41,,51.59,58.7,56.7,79.84
a_1,0.22,0.23,0.26,0.33,0.27,1.0,4.81,5.25,9.22,11.06,9.32,,20.26,,,29.42
h_1,0.06,0.05,0.06,0.08,0.09,0.21,1.0,1.45,1.49,2.07,2.88,1.6,,3.33,6.43,8.02
g_1,0.04,0.04,0.06,0.05,0.05,0.19,0.69,1.0,0.93,1.12,2.36,1.55,2.26,3.09,2.94,
c_0,0.04,0.03,0.02,,0.06,0.11,0.67,1.08,1.0,1.36,1.17,1.96,2.57,2.42,2.92,4.5
d_0,0.03,0.02,,0.06,0.04,0.09,0.48,0.89,0.74,1.0,0.93,0.85,2.26,3.45,2.97,4.55
f_0,,0.03,0.03,0.04,0.04,0.11,0.35,0.42,0.86,1.07,1.0,1.05,2.39,,2.31,2.68
b_0,0.02,0.03,0.03,0.03,,,0.62,0.64,0.51,1.17,0.95,1.0,2.41,2.44,3.57,2.9
h_0,0.01,0.01,0.02,0.02,0.02,0.05,,0.44,0.39,0.44,0.42,0.42,,,1.05,1.84
e_0,0.01,,0.01,0.02,0.02,,0.3,0.32,0.41,0.29,,0.41,,1.0,1.28,1.8
a_0,0.01,0.01,0.02,0.02,0.02,,0.16,0.34,0.34,0.34,0.43,0.28,0.95,0.78,1.0,1.37
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,,0.22,0.22,0.37,0.34,0.54,0.56,0.73,
