,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.24,0.02,0.02,0.03,0.02,0.02,0.05,0.04,0.07,0.12,0.07,0.04,0.07,0.04,,0.08
f_1,0.05,2.25,0.03,0.03,0.02,0.01,0.06,0.04,0.07,0.06,0.07,,0.08,0.04,0.03,0.05
d_1,0.03,0.03,2.26,0.02,0.02,0.02,0.07,0.06,0.1,,0.07,0.07,0.05,0.03,0.05,0.07
c_1,0.04,0.03,0.02,2.38,0.05,0.02,0.05,0.06,,0.08,0.06,0.05,0.07,0.06,0.04,0.07
b_1,0.03,0.04,0.03,0.04,2.6,0.05,0.05,0.04,0.06,0.06,,0.03,0.06,0.05,0.04,0.06
a_1,0.03,0.02,0.02,0.02,0.03,3.23,0.07,0.04,0.05,0.09,,0.06,,,,0.06
h_1,0.1,0.16,0.13,0.1,0.11,0.06,2.6,0.22,0.28,0.13,0.22,0.18,,0.15,0.17,0.4
g_1,0.08,0.09,0.17,0.09,0.1,0.07,0.2,2.89,0.31,0.15,0.14,0.34,0.36,0.15,0.18,
c_0,0.16,0.14,0.15,,0.1,0.13,0.37,0.32,1.93,0.31,0.44,0.24,0.39,0.23,0.23,0.28
d_0,0.13,0.13,,0.33,0.12,0.07,0.32,0.21,0.26,1.92,0.31,0.37,0.31,0.16,0.32,0.39
b_0,0.15,0.13,0.11,0.09,,,0.21,0.2,0.3,0.37,2.17,0.31,0.51,0.51,0.25,0.35
f_0,0.11,,0.14,0.14,0.1,0.07,0.32,0.19,0.39,0.41,0.31,2.18,0.54,0.27,0.5,0.18
h_0,0.21,0.35,0.23,0.16,0.15,,,0.46,0.45,0.47,0.36,0.45,,0.39,0.58,0.62
a_0,0.2,0.13,0.23,0.14,0.17,,0.19,0.21,0.28,0.19,0.23,0.26,0.55,2.41,,0.41
e_0,,0.1,0.14,0.1,0.12,,0.25,0.31,0.33,0.45,0.35,0.33,0.3,,2.66,
g_0,0.14,0.23,0.29,0.18,0.18,0.15,0.45,,0.43,0.47,0.48,0.77,0.55,0.47,,
