,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.32,4.91,5.71,4.7,4.08,1.3,1.67,0.84,0.84,0.96,0.98,0.71,0.85,2.01,0.69
f_1,3.78,1.12,3.83,4.9,5.05,4.26,0.95,1.5,0.96,0.92,0.93,1.63,0.44,0.96,0.86,0.73
d_1,6.44,5.55,1.11,4.03,4.19,4.6,1.32,0.82,2.11,0.88,0.84,0.8,0.8,0.87,0.86,0.43
c_1,3.75,5.65,5.81,1.13,5.2,3.76,1.32,1.36,0.5,1.55,0.91,0.83,0.73,0.84,0.79,0.73
b_1,6.33,6.02,5.14,2.86,1.13,6.52,1.42,1.7,1.58,1.62,4.13,1.26,0.99,1.17,1.29,0.96
a_1,7.92,9.73,8.31,8.75,3.72,1.14,3.1,2.73,1.89,1.88,2.72,2.12,1.15,3.82,1.63,1.04
h_1,16.83,17.59,18.19,15.79,17.86,14.01,1.79,5.82,3.64,3.12,3.06,3.69,3.38,3.23,3.11,2.4
g_1,17.47,19.34,17.8,18.86,19.43,16.07,3.81,1.77,3.82,3.76,3.39,3.69,1.92,3.45,3.81,3.1
d_0,10.23,17.25,32.81,20.62,21.3,20.16,5.74,7.26,2.37,4.01,4.19,4.51,3.25,4.18,3.93,3.13
c_0,23.87,19.03,11.08,44.0,21.3,24.7,6.12,5.1,6.03,2.24,4.26,4.58,3.09,5.03,4.37,2.82
b_0,19.63,22.3,18.19,32.67,40.51,21.96,5.69,6.83,4.18,2.68,2.23,3.96,3.09,4.9,3.58,2.85
f_0,20.99,50.74,25.17,24.09,19.43,19.37,7.25,3.61,5.44,4.3,4.13,2.25,3.11,4.36,4.59,2.08
h_0,24.51,31.26,24.98,31.73,29.96,25.01,13.21,8.09,5.44,5.22,5.01,5.09,5.93,5.84,5.97,3.29
a_0,32.04,28.7,30.71,30.56,41.09,61.75,8.71,8.8,7.27,6.06,3.16,6.18,3.63,2.44,5.87,4.25
e_0,49.35,63.65,26.99,39.29,37.84,31.37,8.41,6.9,6.97,5.36,6.82,2.82,4.77,7.49,2.5,4.56
g_0,37.65,41.19,40.82,39.76,38.86,38.0,9.25,13.28,7.6,7.13,6.09,6.71,4.39,7.63,7.16,14.5
