,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.26,0.86,0.8,0.81,0.68,0.4,0.38,0.43,0.41,0.37,0.29,0.28,0.31,0.31,0.33
e_1,0.8,1.0,0.93,0.92,0.83,0.8,0.54,0.67,0.49,0.5,0.37,0.4,0.33,0.33,0.6,0.34
c_1,1.16,1.08,1.0,1.04,1.27,0.76,0.47,0.31,0.37,0.29,0.4,0.39,0.37,0.32,0.28,0.3
d_1,1.26,1.09,0.96,1.0,0.88,0.77,0.5,0.47,0.39,0.53,0.46,0.36,0.4,0.38,0.24,0.31
b_1,1.23,1.21,0.78,1.13,1.0,1.11,0.67,0.46,0.45,0.41,0.34,0.41,0.42,0.33,0.29,0.41
a_1,1.46,1.25,1.32,1.29,0.9,1.0,0.78,0.62,0.7,0.62,0.56,0.63,0.44,0.62,0.47,0.33
h_1,2.57,1.79,2.16,1.94,1.49,1.28,1.0,0.86,1.06,0.8,0.84,0.68,0.67,0.68,0.67,0.62
d_0,2.56,1.38,3.49,2.03,2.23,1.61,1.21,1.0,1.15,0.95,0.98,0.84,0.97,0.74,0.79,0.69
g_1,2.37,2.08,2.72,2.55,2.31,1.56,0.96,0.9,1.0,0.86,1.14,1.12,0.72,0.93,0.75,0.68
c_0,2.49,2.04,3.35,1.89,2.37,1.61,1.16,1.09,1.2,1.0,1.49,0.87,1.0,0.81,0.76,0.78
b_0,2.62,2.49,2.73,2.06,2.95,1.72,1.25,1.05,0.86,0.67,1.0,0.86,0.87,1.32,0.94,0.83
f_0,3.28,2.49,2.86,2.88,2.24,1.43,1.47,1.18,0.85,1.18,1.13,1.0,1.03,1.1,1.44,0.62
h_0,3.6,2.99,2.77,2.45,2.35,2.29,1.45,1.07,1.38,0.98,1.19,0.98,1.0,0.88,0.89,1.05
a_0,3.2,3.03,3.32,2.81,2.7,,1.53,1.32,1.06,1.24,0.71,0.95,1.13,1.0,0.93,1.06
e_0,3.4,,3.67,4.06,3.42,1.94,1.51,1.22,1.46,1.33,1.1,0.74,1.19,1.05,1.01,0.65
g_0,3.0,3.03,3.46,3.39,2.39,2.88,1.6,1.39,1.48,1.31,1.22,1.54,0.93,0.96,1.42,1.0
