,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,22.89,0.6,0.37,0.36,0.32,0.27,0.71,0.74,0.72,0.75,0.63,0.17,1.05,0.85,0.85,0.6
e_1,0.39,23.45,0.29,0.36,0.32,0.38,0.62,1.79,0.7,0.73,0.94,0.86,0.95,0.57,1.01,0.3
d_1,0.45,0.33,26.63,0.22,0.33,0.33,0.77,0.11,0.67,1.84,0.92,0.75,0.82,1.09,0.8,0.76
c_1,0.32,0.32,0.33,27.08,0.73,0.32,0.65,0.62,0.75,0.13,0.61,1.09,0.74,0.92,0.74,0.83
b_1,0.32,0.32,0.29,0.41,30.51,0.85,0.69,0.95,0.67,0.7,0.14,0.7,0.66,0.56,0.89,0.68
a_1,0.37,0.32,0.35,0.32,0.25,48.69,1.09,0.92,0.79,0.69,1.09,0.71,1.16,0.21,0.76,0.75
h_1,0.96,0.63,0.74,0.74,0.51,0.32,9.81,1.12,1.87,1.2,1.19,1.23,0.56,1.13,1.91,1.55
d_0,0.53,0.53,0.18,1.82,0.61,0.68,1.74,5.55,1.05,1.13,1.59,1.61,1.3,1.01,1.83,2.35
g_1,0.52,0.64,1.35,0.49,0.67,0.31,1.14,1.06,12.45,1.65,1.41,2.91,1.72,1.37,0.45,1.59
c_0,0.73,0.66,0.64,0.28,0.55,0.81,1.24,1.22,1.47,5.92,3.4,1.88,1.94,1.75,1.95,1.77
b_0,0.75,0.72,0.79,0.65,0.22,0.55,1.45,1.22,1.17,1.59,5.93,1.58,1.72,3.78,1.54,2.03
f_0,0.16,0.48,0.96,0.79,0.68,0.7,1.54,1.67,1.65,1.73,2.2,7.32,1.79,2.05,1.43,4.65
h_0,0.84,0.61,0.86,0.54,0.62,0.54,0.56,1.28,1.55,1.17,1.7,1.47,0.48,1.42,1.79,1.51
a_0,0.57,0.8,0.65,0.75,0.63,0.25,1.59,1.3,1.32,1.51,1.59,1.71,1.68,8.49,2.08,1.49
g_0,0.59,0.52,1.09,0.83,0.51,0.63,1.29,1.19,,1.18,1.63,2.23,1.56,1.15,0.53,1.51
e_0,0.54,0.21,0.64,1.07,0.94,0.55,1.34,1.53,1.47,1.41,2.72,2.22,2.41,1.25,2.28,9.94
