,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,91.94,9.94,14.62,21.55,40.65,70.38,2135.83,4032.86,3346.25,9185.87,5653.5,6919.81,19215.37,14792.31,,37958.76
f_1,18.21,105.22,15.97,23.39,30.12,75.81,1586.02,4429.83,2478.46,4260.1,5502.78,,15932.02,16679.43,18880.65,26581.82
d_1,8.59,10.76,119.55,27.8,30.04,63.28,2002.81,6049.63,3306.41,,4890.58,6878.39,17964.23,14717.09,22157.44,22118.58
c_1,9.57,9.45,10.57,181.78,49.14,50.13,1562.1,,3814.87,2395.36,4260.99,7153.94,14243.54,10650.68,15520.1,27873.78
b_1,5.81,8.55,11.36,13.93,262.66,66.76,1721.15,1986.17,2145.26,3397.68,,6107.0,15239.01,8815.17,14909.25,20768.19
a_1,6.59,5.88,8.12,13.99,17.89,431.39,1141.79,2260.59,2295.22,1959.43,3181.63,4391.4,10950.03,,,17355.11
h_1,3.86,7.91,6.08,9.91,13.66,26.55,3122.46,1588.46,2391.0,2553.86,2474.5,3545.37,,6450.51,7874.99,14133.07
c_0,4.53,4.16,3.96,,16.39,26.37,981.58,4005.05,1660.94,1434.64,3907.31,3634.99,9597.19,7682.41,9579.05,15168.28
g_1,3.26,4.55,5.9,7.74,16.61,25.53,611.06,1312.62,5638.37,1588.58,2234.42,3039.5,5376.48,,6912.98,
d_0,3.07,5.55,,16.03,14.11,27.35,607.65,1728.52,1565.27,4864.5,2867.26,2455.6,8256.08,4781.34,7301.14,14426.12
b_0,3.45,4.45,5.37,7.67,,22.5,753.89,1288.95,1642.87,1712.83,5670.55,2933.69,5999.03,10929.07,7779.51,12719.96
f_0,3.19,,4.65,8.03,12.47,25.45,617.42,1190.18,1465.56,2144.66,1667.02,7118.78,6342.51,4732.26,11682.81,10177.5
h_0,4.06,5.83,4.75,7.64,11.63,15.45,,837.47,1553.54,1554.19,2033.41,2731.12,,3478.61,5922.34,12278.24
a_0,2.93,2.94,4.37,5.49,9.55,,551.64,940.54,,1618.67,1105.56,1721.1,6925.48,13650.29,5973.9,6609.83
e_0,,3.1,2.85,5.4,8.17,,642.81,932.48,1033.99,1058.24,1268.94,1485.39,5480.67,3757.26,17536.28,8077.39
g_0,2.2,3.44,6.09,6.21,8.65,15.63,429.15,970.46,,1332.8,1507.45,2403.04,5483.76,5682.07,6070.0,
