,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.71,0.66,0.63,0.64,0.6,0.28,0.31,0.38,0.3,0.29,0.35,0.19,0.29,0.31,0.29
e_1,0.47,0.41,0.74,0.66,0.74,0.73,0.38,0.39,0.4,0.31,0.3,0.39,0.26,0.29,0.43,0.28
c_1,0.7,0.56,0.39,0.75,0.78,0.62,0.35,0.2,0.34,0.33,0.27,0.27,0.27,0.29,0.24,0.25
d_1,0.76,0.72,0.66,0.38,0.61,0.6,0.34,0.37,0.27,0.33,0.32,0.28,0.24,0.32,0.25,0.18
b_1,0.72,0.7,0.44,0.76,0.36,0.84,0.4,0.32,0.34,0.36,0.39,0.29,0.29,0.28,0.28,0.24
a_1,0.87,0.64,0.73,0.65,0.41,0.3,0.43,0.33,0.42,0.36,0.4,0.37,0.28,0.39,0.31,0.28
h_1,0.66,0.6,0.65,0.63,0.57,0.53,0.24,0.31,0.36,0.27,0.29,0.26,0.26,0.3,0.29,0.26
d_0,0.6,0.4,0.79,0.74,0.7,0.63,0.35,0.24,0.41,0.26,0.28,0.29,0.28,0.29,0.33,0.25
g_1,0.69,0.61,0.71,0.64,0.63,0.53,0.29,0.26,0.21,0.28,0.29,0.29,0.19,0.29,0.25,0.28
c_0,0.63,0.65,0.91,0.42,0.64,0.63,0.34,0.36,0.35,0.23,0.36,0.33,0.3,0.31,0.29,0.27
b_0,0.64,0.61,0.77,0.52,0.79,0.56,0.34,0.29,0.32,0.17,0.22,0.29,0.25,0.42,0.29,0.25
f_0,0.72,0.55,0.65,0.67,0.62,0.57,0.37,0.3,0.23,0.28,0.26,0.2,0.26,0.33,0.36,0.16
h_0,0.76,0.62,0.59,0.57,0.58,0.58,0.4,0.26,0.34,0.25,0.27,0.23,0.28,0.25,0.26,0.26
a_0,0.62,0.66,0.67,0.63,0.75,0.76,0.32,0.28,0.31,0.23,0.16,0.23,0.25,0.19,0.26,0.25
e_0,0.73,0.62,0.81,0.66,0.64,0.51,0.32,0.25,0.3,0.25,0.27,0.15,0.23,0.28,0.19,0.19
g_0,0.6,0.6,0.65,0.68,0.59,0.63,0.27,0.29,0.38,0.28,0.28,0.34,0.2,0.27,0.31,0.27
