,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.51,0.16,0.14,0.19,0.28,0.08,0.25,0.21,0.18,,0.22,0.14,0.26,0.15,0.12,0.18
f_1,0.19,1.51,0.23,0.24,0.15,0.11,0.19,0.21,0.18,0.2,,0.2,0.19,0.11,0.14,0.18
d_1,0.18,0.13,1.52,0.14,0.17,0.12,0.21,0.19,,0.33,0.19,0.24,0.21,0.15,0.16,0.18
e_1,0.16,0.16,0.16,1.53,0.16,0.13,0.18,0.16,0.34,0.15,0.2,0.18,0.28,,,0.22
b_1,0.14,0.2,0.14,0.16,1.56,0.22,0.23,0.19,0.26,0.2,0.19,,0.18,0.2,0.19,0.15
a_1,0.27,0.18,0.16,0.18,0.15,1.74,0.16,0.19,0.22,0.21,0.2,0.19,0.25,,,0.21
h_1,0.32,0.56,0.39,0.36,0.27,0.39,1.63,0.56,0.49,0.49,0.44,0.43,,0.23,0.31,0.65
g_1,0.36,0.29,0.56,0.42,0.33,0.34,0.38,1.7,0.48,0.51,0.64,0.44,0.4,0.54,0.35,
d_0,0.8,0.49,,0.43,0.34,0.42,0.49,0.5,1.42,0.55,0.59,0.46,0.47,,0.46,0.56
c_0,,0.51,0.44,0.43,0.4,0.31,0.55,0.48,0.48,1.47,0.53,0.88,0.6,,0.5,0.6
f_0,0.38,,0.55,0.44,0.57,0.49,0.56,0.42,0.47,0.64,1.49,0.71,0.43,0.67,,0.53
b_0,0.42,0.53,0.49,0.48,,0.34,0.53,0.51,0.73,0.5,0.37,1.48,0.83,0.46,,0.59
h_0,0.53,0.75,0.47,0.56,0.74,0.52,,0.82,0.83,0.7,0.69,0.59,,0.59,0.78,0.7
e_0,0.47,0.56,0.44,,0.53,,1.04,0.42,,,0.53,0.7,0.66,1.69,,0.59
a_0,0.69,0.61,0.51,,0.35,,0.77,0.56,0.59,0.55,,,0.55,,1.62,0.74
g_0,0.75,0.5,0.88,0.65,0.61,0.46,0.56,,0.78,0.72,0.8,0.55,0.77,0.53,0.62,
