,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.78,1.04,0.96,0.75,0.49,0.48,0.65,0.42,0.47,0.44,0.41,0.36,0.38,0.33
d_1,1.14,1.0,1.11,0.87,0.89,0.67,0.57,0.39,0.45,0.57,0.44,0.38,0.29,0.38,0.3,0.27
f_1,1.29,0.89,1.0,0.93,0.91,0.76,0.36,0.46,0.38,0.41,0.4,0.42,0.3,0.37,0.27,0.34
c_1,0.96,1.16,1.07,1.0,1.34,0.66,0.49,0.49,0.33,0.37,0.34,0.34,0.35,0.32,0.31,0.27
b_1,1.04,1.13,1.09,0.75,1.0,1.26,0.67,0.55,0.5,0.51,0.4,0.43,0.36,0.29,0.34,0.34
a_1,1.34,1.5,1.3,1.52,0.79,1.0,0.59,0.79,0.6,0.6,0.66,0.57,0.58,0.4,0.49,0.47
h_1,2.0,1.87,2.75,2.03,1.54,1.63,1.0,1.06,0.91,0.84,0.89,0.78,0.73,0.61,0.57,0.71
g_1,1.97,2.57,2.19,2.04,1.88,1.29,0.95,1.0,0.82,0.98,0.9,1.02,0.64,0.59,0.76,0.73
d_0,1.5,2.48,2.37,3.08,2.14,1.52,1.08,1.28,1.0,0.94,1.03,0.92,0.82,0.74,0.76,0.68
c_0,2.25,1.75,2.24,2.67,2.06,1.9,1.19,1.06,1.09,1.0,1.38,1.02,0.87,0.82,0.78,0.66
b_0,2.05,2.21,2.5,3.04,2.5,1.64,1.12,1.18,0.98,0.68,1.0,0.97,0.79,1.0,0.72,0.64
f_0,2.31,2.56,2.42,2.86,2.26,1.65,1.35,0.97,1.16,0.99,1.04,1.0,1.0,0.72,1.13,0.58
h_0,2.56,3.32,3.32,2.91,2.76,1.73,1.39,1.57,1.22,1.14,1.19,0.97,1.0,0.92,0.83,0.99
a_0,2.75,2.58,2.94,3.14,3.52,2.42,1.65,1.77,1.29,1.13,1.02,1.34,1.16,1.0,0.98,0.86
e_0,2.63,3.54,3.78,3.2,2.91,1.98,1.75,1.28,1.39,1.33,1.41,0.86,1.19,1.06,1.0,0.98
g_0,3.16,3.81,3.19,3.4,2.93,2.22,1.38,1.42,1.46,1.45,1.55,1.67,0.99,1.12,0.97,1.0
