,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.68,3.62,6.01,6.24,6.28,4.41,2.29,2.27,2.9,2.21,2.02,2.5,1.43,1.36,,1.6
f_1,7.25,0.67,6.44,5.76,4.94,5.22,1.76,2.07,3.24,1.94,1.76,,2.12,1.15,1.94,2.08
d_1,6.41,5.54,0.66,6.63,4.64,5.8,2.61,,1.69,2.48,2.14,1.82,2.46,1.87,1.67,1.22
c_1,5.54,6.29,6.33,0.65,6.34,5.69,2.34,1.4,2.79,,2.3,1.99,1.91,1.99,2.15,1.69
b_1,5.53,6.7,6.8,4.23,0.63,6.83,2.69,2.57,3.05,2.5,,2.65,2.55,2.0,1.78,
a_1,8.95,8.46,7.77,5.79,4.42,0.57,3.05,2.56,,2.81,,3.06,,1.81,1.93,2.43
h_1,5.16,5.62,4.32,5.75,4.67,4.7,0.62,1.85,1.93,1.64,1.39,1.68,1.42,,2.07,1.56
d_0,3.12,5.3,,5.28,4.31,5.49,2.54,0.7,2.41,1.78,1.51,1.43,1.94,1.18,1.72,1.68
g_1,5.22,5.19,6.62,5.92,5.96,,2.71,1.54,0.57,1.96,1.9,2.27,1.76,1.51,2.13,
c_0,5.5,4.48,3.03,,5.32,4.63,2.26,2.03,1.87,0.69,2.13,1.59,1.78,1.53,1.73,1.53
b_0,5.21,5.59,5.33,5.6,,,2.33,1.66,2.18,1.24,0.67,2.14,,1.64,1.56,1.2
f_0,5.46,,5.71,6.4,4.56,4.5,2.66,2.47,1.69,1.79,1.69,0.67,1.63,1.75,2.26,0.91
a_0,8.18,5.15,5.66,5.79,6.16,,2.59,1.99,2.64,2.44,,1.85,0.61,1.79,1.85,
h_0,5.16,5.17,4.34,3.97,4.34,5.23,,1.8,1.69,1.66,1.83,1.36,1.64,,1.31,1.46
e_0,,8.47,5.08,5.48,6.1,4.96,2.4,2.45,2.18,2.26,2.7,1.18,2.14,2.21,0.62,1.77
g_0,4.44,5.64,5.34,3.88,,4.9,2.14,1.93,,1.64,2.46,1.84,,1.01,1.53,
