,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.42,1.7,1.13,1.2,1.0,1.01,1.5,2.36,2.2,1.72,2.29,1.45,2.89,2.49,1.61,2.75
e_1,1.08,2.42,1.08,1.3,1.13,1.06,2.35,3.75,2.09,2.24,2.37,2.56,2.91,3.04,1.84,3.06
d_1,1.31,1.01,2.56,1.11,1.1,1.1,1.99,1.47,4.05,2.01,2.96,2.62,3.11,2.43,2.72,2.63
c_1,1.18,1.07,1.02,2.58,1.82,0.98,2.2,1.9,1.58,2.0,1.85,2.35,2.87,2.22,2.69,2.81
b_1,1.08,0.98,1.17,0.94,2.64,2.04,2.41,2.58,2.37,2.59,1.84,2.44,3.26,2.23,2.25,2.88
a_1,1.19,1.01,1.29,1.06,1.01,3.16,2.98,2.8,2.5,2.52,2.96,3.0,3.37,1.74,3.01,3.96
h_1,1.72,1.14,1.43,1.18,1.07,0.88,4.16,2.49,2.71,3.09,2.86,2.49,2.46,2.78,2.83,4.16
d_0,1.29,1.15,1.08,2.14,1.26,1.02,2.75,3.9,1.67,2.26,2.57,2.9,3.62,2.73,2.84,3.49
c_0,1.49,1.39,1.1,0.94,1.11,1.31,2.56,3.31,3.94,2.5,4.75,2.62,3.47,3.22,2.96,3.81
g_1,1.04,1.16,1.87,1.29,1.1,1.03,2.13,2.62,2.32,4.72,2.73,4.07,3.46,2.89,3.11,2.91
b_0,1.56,1.45,1.24,1.5,0.72,1.01,2.19,2.64,2.3,2.75,4.36,2.92,3.35,4.94,3.37,3.79
f_0,1.09,1.01,1.44,1.37,1.33,1.1,2.55,2.6,2.93,2.27,2.99,4.59,3.79,2.88,5.49,3.0
h_0,1.56,1.31,1.32,1.2,1.22,1.22,1.91,2.79,2.84,2.89,2.84,2.69,2.37,2.45,2.49,4.39
a_0,1.27,1.12,1.48,1.47,1.19,0.71,2.43,2.66,2.91,2.57,2.83,3.19,3.89,5.04,2.37,3.99
e_0,1.51,0.89,1.45,1.41,1.48,1.17,2.75,2.34,3.02,2.34,2.9,2.26,4.44,2.82,5.29,3.33
g_0,1.16,1.21,1.81,1.22,1.29,1.06,2.3,2.48,2.48,1.97,2.59,4.2,2.87,3.02,3.17,2.81
