,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.37,1.67,1.02,1.2,1.05,0.95,2.0,2.0,2.35,2.48,2.17,1.38,2.55,1.9,2.69,1.88
e_1,1.15,2.39,1.04,1.4,0.92,1.02,2.41,2.27,2.51,4.2,2.73,2.74,3.24,3.11,2.95,1.78
d_1,1.31,1.03,2.5,0.99,1.05,1.07,2.36,2.11,3.97,1.62,2.71,2.67,3.3,2.58,2.8,2.46
c_1,1.06,0.98,1.17,2.59,1.98,1.01,2.01,2.16,1.28,2.06,2.02,2.69,3.12,2.52,2.79,2.53
b_1,1.08,1.23,1.23,0.95,2.88,2.03,1.89,2.24,1.98,2.04,1.38,2.12,2.97,2.07,3.16,2.45
a_1,1.08,1.24,1.43,1.04,0.91,3.37,2.31,1.92,2.25,2.11,2.98,2.59,3.59,1.99,3.59,2.82
h_1,1.46,1.2,1.22,1.24,1.3,1.17,3.93,3.21,2.46,2.79,2.67,2.72,2.77,2.37,4.23,3.06
g_1,1.35,1.02,1.69,1.27,1.22,1.2,2.05,4.41,2.6,2.14,2.77,3.2,3.03,2.78,2.37,3.34
c_0,1.33,1.24,1.17,1.06,1.19,1.36,2.85,2.52,3.96,2.21,4.64,3.09,3.47,2.85,4.1,3.2
d_0,1.22,1.02,0.85,2.31,1.29,1.37,2.44,2.39,2.48,3.94,2.58,3.05,3.05,2.29,3.54,3.06
b_0,1.37,1.2,1.18,1.47,1.01,0.87,2.58,2.47,2.19,2.81,4.25,2.86,3.78,5.46,3.95,3.08
f_0,1.13,0.98,1.38,1.3,1.52,1.45,2.56,2.54,2.85,2.66,2.98,4.26,3.59,3.02,3.04,5.38
h_0,1.69,1.12,1.17,1.31,1.08,1.17,1.98,2.8,2.74,2.72,2.74,2.59,2.41,2.91,4.6,2.54
a_0,1.57,0.96,1.42,1.25,1.5,0.83,2.81,2.49,2.63,3.23,1.93,3.09,3.49,4.91,3.8,3.67
g_0,1.06,1.16,1.85,1.28,1.07,1.24,2.2,2.03,2.66,2.47,2.98,3.9,3.14,2.57,2.52,2.6
e_0,1.49,0.92,1.21,1.38,1.38,1.32,2.34,2.3,2.55,2.83,2.98,2.3,4.03,2.81,4.15,5.26
