,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.53,0.94,1.19,0.87,1.06,0.83,1.2,1.13,1.79,1.0,1.21,1.06,0.97,1.27,0.92,1.26
f_1,1.46,1.54,1.03,0.89,0.96,0.7,1.06,1.14,1.26,0.98,0.94,0.97,0.96,1.18,0.71,1.13
c_1,0.98,1.04,1.57,1.02,1.4,0.85,1.16,1.07,1.03,0.93,1.1,0.92,0.96,1.18,1.01,1.07
d_1,1.1,1.17,0.88,1.59,0.92,0.78,1.19,1.09,1.01,1.73,1.17,1.26,1.23,1.32,1.1,1.06
b_1,0.99,1.05,0.99,1.05,1.6,1.4,1.17,1.03,1.28,1.2,1.13,0.97,0.88,1.27,1.04,1.24
a_1,1.08,1.25,1.17,1.11,0.95,1.79,1.5,1.18,1.26,1.17,1.22,1.4,1.04,1.42,1.24,1.26
h_1,1.28,1.57,1.25,1.28,1.12,0.92,1.86,1.61,1.37,1.21,1.28,1.3,1.11,1.34,1.12,1.61
g_1,1.27,1.26,1.24,1.71,1.13,1.04,1.31,1.92,1.24,1.41,1.82,1.47,1.36,1.52,1.3,1.34
d_0,1.11,1.34,1.96,1.08,1.24,1.01,1.52,1.43,1.8,1.17,1.35,1.29,1.39,1.47,1.3,1.46
c_0,1.41,1.56,1.19,1.29,1.09,0.96,1.75,1.59,1.54,1.9,1.47,2.28,1.67,1.65,1.28,1.66
f_0,1.22,1.42,1.39,1.36,1.27,1.08,1.61,1.31,1.7,1.47,1.91,1.59,1.56,1.71,2.29,1.36
b_0,1.48,1.53,1.36,1.41,1.09,0.84,1.66,1.66,1.46,1.45,1.47,1.97,2.3,1.6,1.18,1.66
a_0,1.42,1.55,1.42,1.27,1.33,0.93,1.74,1.56,1.54,1.54,1.61,1.35,1.97,1.71,1.67,1.45
h_0,1.37,1.66,1.47,1.36,1.25,0.95,1.44,1.76,1.69,1.57,1.32,1.48,1.51,1.51,1.26,1.85
e_0,1.14,1.74,1.43,1.4,1.32,1.09,1.88,1.53,1.5,1.71,1.29,1.62,1.44,1.87,1.92,1.58
g_0,1.29,1.45,1.53,1.81,1.35,1.08,1.58,1.46,1.6,1.54,2.08,1.48,1.43,1.58,1.6,1.45
