,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.66,2.36,2.04,1.94,1.9,1.98,0.91,1.34,0.65,0.91,0.75,0.71,0.48,0.78,0.6,0.44
e_1,1.93,0.66,1.33,2.04,2.24,1.96,1.15,0.89,1.08,0.82,0.93,0.84,0.69,0.68,2.41,0.72
f_1,2.08,2.55,0.66,2.04,2.05,2.7,0.64,0.81,1.11,0.65,1.25,0.68,0.41,0.64,0.56,0.56
c_1,2.6,1.87,2.11,0.65,2.26,2.03,0.87,0.47,0.98,1.91,0.67,0.71,0.75,0.71,0.69,0.83
b_1,2.47,2.41,2.85,1.47,0.62,2.21,1.13,0.7,0.93,1.05,0.7,1.67,0.7,0.88,0.82,0.73
a_1,2.25,2.53,2.35,2.91,1.56,0.58,1.52,0.95,1.24,1.11,1.04,1.13,1.03,2.09,1.14,0.81
h_1,2.53,2.57,3.07,3.12,2.3,2.07,0.59,1.03,1.67,0.9,0.97,0.97,1.81,0.83,0.85,0.84
d_0,6.51,1.74,3.14,3.71,3.24,2.34,1.32,0.68,1.1,0.94,0.9,0.99,0.86,0.79,0.83,0.99
g_1,3.34,2.62,2.54,3.05,3.19,2.36,0.97,1.43,0.56,1.1,1.03,1.06,0.79,1.58,1.12,0.97
c_0,1.77,3.11,3.1,5.55,2.84,2.11,1.53,1.44,1.3,0.64,1.22,1.47,1.14,1.03,1.17,1.04
f_0,2.75,3.02,6.49,3.24,3.33,2.6,1.46,1.12,1.07,1.04,0.65,1.04,1.04,0.84,1.05,0.55
b_0,3.08,2.63,3.17,4.26,6.0,2.63,1.4,1.31,1.12,0.62,1.04,0.63,0.96,1.35,1.05,0.72
h_0,3.55,3.1,4.53,2.87,3.65,2.62,1.97,1.27,1.48,1.0,1.0,1.03,1.52,1.11,0.99,0.9
a_0,3.01,3.26,3.93,3.9,3.88,,1.78,1.51,1.26,1.2,1.4,0.7,1.14,0.6,1.25,0.92
e_0,3.28,4.02,4.96,4.35,3.31,2.44,1.61,1.5,1.08,1.16,0.7,1.23,1.0,0.93,0.6,1.1
g_0,3.8,3.39,4.84,3.06,2.98,3.23,1.48,1.32,3.52,1.0,1.47,1.36,0.95,1.3,1.08,1.36
