,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.46,4.93,4.48,4.48,4.42,1.44,1.31,0.88,0.92,0.89,1.11,0.9,0.66,1.37,0.84
f_1,4.27,1.12,4.14,4.72,3.89,4.1,0.85,1.76,0.98,0.95,0.9,1.82,0.81,0.44,0.82,0.61
d_1,5.28,5.19,1.11,4.68,4.75,4.89,1.26,0.83,1.9,0.94,1.05,0.9,0.95,0.65,0.97,0.39
c_1,3.76,5.34,6.24,1.12,5.34,5.17,1.5,1.27,0.6,1.67,1.08,0.97,1.0,0.65,0.86,0.7
b_1,6.16,6.9,5.99,3.02,1.13,5.37,1.87,1.77,1.23,1.53,2.69,1.62,0.98,0.94,1.32,1.06
a_1,8.58,9.64,8.95,9.51,4.29,1.14,2.98,3.36,1.89,1.91,2.32,1.33,4.76,1.35,1.65,1.76
h_1,15.23,15.84,13.87,14.79,15.27,14.01,1.74,4.22,3.21,3.27,3.26,3.38,2.61,3.76,2.48,2.3
g_1,18.38,22.9,15.79,18.96,16.84,15.5,3.5,1.72,4.25,3.79,4.04,3.6,3.99,2.56,3.25,3.35
d_0,10.0,19.76,28.7,21.99,22.01,23.06,5.9,5.2,2.23,3.96,4.27,3.29,3.66,2.88,4.12,3.15
c_0,20.61,20.2,9.71,43.37,29.11,19.7,6.21,6.35,6.19,2.09,3.99,3.72,3.85,3.3,4.22,2.46
b_0,18.94,20.67,15.5,28.27,38.29,18.72,5.82,5.93,4.59,2.08,2.03,3.93,3.79,3.3,4.12,3.18
f_0,27.04,52.12,22.46,28.27,24.73,25.55,7.36,4.63,6.08,4.58,4.8,2.21,4.22,4.36,4.42,2.2
a_0,24.55,31.54,28.96,28.78,43.67,37.08,7.7,7.4,5.53,4.45,3.1,4.64,2.58,4.5,6.12,4.77
h_0,26.65,34.25,27.74,31.04,26.12,23.35,14.1,7.64,5.97,5.25,5.75,5.03,5.14,6.55,5.4,4.26
e_0,60.18,46.7,29.47,31.98,36.3,28.22,9.14,9.32,7.26,6.35,7.44,2.78,5.2,3.72,2.58,3.84
g_0,47.83,44.4,32.05,45.23,37.77,32.6,7.85,18.89,8.77,7.45,8.84,7.0,6.21,4.11,6.22,8.08
