,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.43,1.97,2.05,1.63,1.67,1.6,0.46,0.98,0.33,0.3,0.35,0.28,0.25,0.31,0.32,0.15
f_1,1.45,0.43,1.63,1.94,1.81,1.32,0.35,0.41,0.35,0.59,0.36,0.73,0.19,0.34,0.33,0.28
e_1,2.0,0.95,0.42,1.96,2.07,1.87,0.57,0.43,0.38,0.7,0.42,0.45,0.3,0.39,0.56,0.37
c_1,2.55,1.73,1.52,0.41,1.65,1.68,0.5,0.2,0.64,0.52,0.35,0.32,0.26,0.37,0.4,0.29
b_1,2.12,2.42,1.96,1.01,0.39,2.74,0.58,0.4,0.5,0.49,1.04,0.36,0.29,0.48,0.35,0.28
a_1,2.1,2.55,2.4,3.22,1.17,0.33,0.63,0.41,0.48,0.7,0.6,0.68,0.3,1.07,0.58,0.35
h_1,2.47,2.61,3.21,2.87,2.73,2.61,0.33,0.62,0.52,0.85,0.55,0.58,0.65,0.51,0.55,0.49
d_0,5.93,2.95,1.59,3.38,2.85,3.19,1.08,0.37,0.71,1.13,0.74,0.88,0.53,0.64,0.7,0.68
c_0,1.66,3.2,3.37,5.54,3.84,3.28,0.93,0.9,0.37,0.99,0.59,0.56,0.46,0.59,0.56,0.5
g_1,3.01,3.25,3.2,3.52,3.33,3.11,0.78,0.69,0.65,0.3,0.65,0.6,0.31,0.63,0.59,0.64
b_0,2.62,3.51,3.47,5.22,5.2,3.17,0.99,0.63,0.38,0.85,0.33,0.59,0.43,0.59,0.75,0.45
f_0,3.2,6.0,3.61,3.61,3.57,3.19,0.99,0.84,0.61,0.59,0.68,0.33,0.51,0.76,0.66,0.33
h_0,3.8,3.74,3.58,3.82,4.12,3.27,1.67,0.8,0.75,1.03,0.67,0.8,0.9,0.68,0.62,0.57
a_0,3.09,4.6,4.01,3.9,6.73,7.78,1.26,0.73,0.63,1.62,0.44,0.79,0.53,0.31,0.73,0.61
e_0,3.6,6.18,6.42,3.91,4.34,4.68,1.02,1.03,0.86,1.02,0.88,0.39,0.56,0.69,0.31,0.47
g_0,4.4,5.23,4.14,4.58,4.88,4.33,1.02,0.86,0.87,1.64,0.84,0.92,0.45,0.94,0.63,0.77
