,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.38,1.88,1.15,1.14,1.11,1.08,2.23,2.61,2.53,2.28,2.38,1.8,2.61,1.99,2.52,3.48
e_1,1.11,2.4,1.64,1.16,1.0,1.22,2.38,4.15,2.5,2.38,3.16,2.91,3.75,2.29,3.13,3.41
c_1,1.31,0.94,2.58,1.18,2.12,1.25,2.43,2.12,1.58,2.05,1.81,2.62,3.27,3.1,2.29,2.86
d_1,1.46,1.27,1.05,2.63,1.16,0.95,2.23,1.89,4.07,2.12,2.88,2.65,3.8,2.58,2.88,3.15
b_1,1.24,1.22,1.03,1.24,2.74,2.2,2.28,2.38,2.58,2.2,1.66,2.69,3.4,2.86,2.05,3.24
a_1,1.3,1.07,1.19,1.43,1.05,3.22,2.92,2.83,2.93,3.14,3.44,3.12,3.04,3.08,2.35,3.46
h_1,1.64,1.33,1.26,1.57,1.3,1.13,4.15,2.59,2.71,3.24,2.85,3.15,2.71,3.37,3.26,4.76
d_0,1.29,1.17,2.23,0.96,1.6,1.19,2.57,3.87,2.58,2.7,3.0,3.14,3.75,3.58,2.86,4.27
c_0,1.43,1.31,1.21,1.3,1.16,1.27,3.03,3.18,4.18,2.89,5.23,3.3,3.85,3.11,3.53,4.2
g_1,1.26,1.21,1.59,1.85,1.29,1.29,2.22,2.57,2.55,4.64,2.76,3.92,3.2,3.38,3.09,2.23
b_0,1.55,1.34,1.64,1.22,1.09,0.84,3.0,2.94,2.63,3.07,4.51,2.78,4.22,3.33,5.93,3.77
f_0,1.21,1.12,1.54,1.56,1.35,1.41,2.69,3.0,2.72,2.52,3.26,4.67,3.61,5.92,3.48,3.53
h_0,1.78,1.19,1.39,1.35,1.19,1.31,2.17,3.05,3.1,3.3,3.24,2.83,3.06,2.74,2.93,4.73
e_0,1.53,0.99,1.4,1.7,1.44,1.23,2.85,2.76,3.11,2.5,2.82,2.89,3.53,5.11,3.5,4.51
a_0,1.6,1.32,1.46,1.6,1.55,0.63,2.48,3.59,2.98,2.35,2.43,2.87,4.39,3.73,5.24,3.9
g_0,1.15,1.21,1.35,2.15,1.23,1.24,2.31,2.33,3.01,2.66,3.0,4.25,3.04,3.28,3.34,3.14
