,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.95,0.47,0.61,0.37,0.42,0.29,0.26,0.27,0.28,0.26,0.28,0.14,0.19,0.23,0.15,0.21
c_1,0.48,0.95,0.4,0.71,0.47,0.29,0.25,0.27,0.15,0.25,0.15,0.2,0.17,0.24,0.17,0.22
e_1,0.49,0.59,0.94,0.44,0.33,0.28,0.35,0.49,0.28,0.24,0.27,0.25,0.2,0.26,0.1,0.24
b_1,0.54,0.41,0.45,0.94,0.45,0.52,0.32,0.27,0.29,0.28,0.19,0.24,0.17,0.23,0.22,0.21
d_1,0.52,0.33,0.53,0.42,0.95,0.34,0.28,0.24,0.48,0.24,0.31,0.31,0.25,0.28,0.2,0.21
a_1,0.62,0.55,0.53,0.41,0.56,0.94,0.37,0.31,0.3,0.29,0.33,0.29,0.18,0.26,0.23,0.26
h_1,0.97,0.88,0.64,0.63,0.7,0.45,0.76,0.48,0.42,0.54,0.41,0.35,0.31,0.35,0.27,0.4
d_0,0.87,1.22,0.61,0.79,0.54,0.44,0.48,0.67,0.35,0.37,0.29,0.39,0.31,0.41,0.36,0.36
c_0,0.86,0.75,0.78,0.59,0.67,0.52,0.52,0.57,0.7,0.43,0.7,0.44,0.47,0.48,0.35,0.38
g_1,0.75,0.78,0.76,0.6,1.12,0.46,0.39,0.45,0.5,0.76,0.4,0.53,0.36,0.39,0.32,0.3
b_0,0.93,0.99,0.8,0.55,0.77,0.45,0.49,0.66,0.48,0.44,0.66,0.4,0.67,0.47,0.33,0.44
f_0,0.94,0.99,0.69,0.76,0.7,0.61,0.59,0.63,0.53,0.38,0.51,0.66,0.4,0.47,0.57,0.36
a_0,1.16,1.0,0.94,0.8,0.71,0.48,0.62,0.64,0.47,0.49,0.4,0.46,0.65,0.55,0.39,0.38
h_0,1.24,0.96,0.75,0.85,0.76,0.59,0.38,0.62,0.5,0.59,0.5,0.42,0.4,0.37,0.39,0.46
e_0,1.21,0.88,0.76,0.89,0.91,0.6,0.66,0.54,0.56,0.52,0.47,0.42,0.43,0.48,0.61,0.48
g_0,0.86,0.89,0.74,0.86,1.18,0.62,0.59,0.59,0.54,0.41,0.48,0.67,0.42,0.49,0.46,0.35
