,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,11.35,0.65,0.82,0.53,0.72,0.61,0.97,0.89,2.31,0.77,1.0,0.9,0.86,0.98,0.66,1.05
f_1,1.5,12.42,0.63,0.6,0.56,0.49,0.86,0.88,0.9,0.74,0.6,0.83,0.92,0.96,0.57,0.87
c_1,0.63,0.63,13.43,0.59,1.47,0.63,0.86,0.88,0.83,0.53,0.93,0.73,0.82,1.01,1.02,0.86
d_1,0.61,0.71,0.43,17.55,0.53,0.66,0.89,1.07,0.45,2.45,1.07,1.29,1.33,1.15,1.28,1.04
b_1,0.52,0.58,0.71,0.71,14.29,1.78,0.81,0.72,0.96,0.88,0.91,0.62,0.66,0.94,0.98,1.05
a_1,0.53,0.72,0.8,0.7,0.68,23.22,1.27,0.87,0.82,0.94,1.05,1.02,0.62,0.88,1.12,0.95
h_1,0.7,1.33,0.68,0.82,0.58,0.7,3.68,1.43,0.95,0.88,0.95,1.05,0.92,0.72,1.04,1.39
g_1,0.63,0.62,0.71,1.85,0.59,0.68,0.96,4.33,0.66,1.15,1.88,1.28,1.14,1.13,1.12,0.82
d_0,0.6,0.83,2.81,0.41,0.73,0.61,1.04,0.95,2.13,0.62,1.07,0.89,1.09,0.94,1.01,1.03
c_0,0.73,0.88,0.5,1.01,0.52,0.64,1.18,1.26,0.86,2.81,1.15,3.5,1.64,1.19,1.06,1.32
f_0,0.64,0.59,0.84,0.88,0.7,0.78,1.17,1.15,1.26,0.99,3.07,1.47,1.48,1.15,3.18,1.0
b_0,0.76,0.92,0.77,1.07,0.38,0.46,1.25,1.4,0.77,1.43,1.13,3.56,3.56,1.06,0.93,1.11
a_0,0.73,0.89,0.76,0.86,0.64,0.55,1.21,1.27,0.9,1.33,1.53,1.26,3.68,1.35,1.65,1.05
h_0,0.63,1.3,0.86,0.89,0.63,0.53,0.73,1.47,1.07,1.09,0.8,1.07,1.24,0.8,1.03,1.5
e_0,0.32,0.94,0.79,0.99,0.81,0.77,1.51,1.14,0.89,1.35,1.08,1.25,0.99,1.22,3.73,1.11
g_0,0.57,0.74,0.83,1.88,0.71,0.61,0.99,0.76,0.81,0.99,1.92,1.07,1.04,1.08,1.26,0.75
