,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.07,3.97,3.0,3.73,2.83,2.66,0.94,1.3,1.08,1.03,0.84,1.64,0.79,0.57,0.75,0.81
e_1,2.19,1.07,3.05,3.34,3.88,3.24,1.37,1.4,1.01,1.25,0.92,1.02,1.14,0.85,2.53,0.72
d_1,3.76,4.69,1.07,3.27,2.97,2.7,1.18,0.82,1.09,2.04,1.05,0.9,0.78,0.76,0.86,0.49
c_1,3.62,3.23,3.88,1.07,3.77,3.07,1.27,1.0,1.84,0.68,0.98,0.87,0.9,0.85,0.82,0.81
b_1,4.47,3.21,4.24,2.24,1.07,4.11,1.42,1.63,1.26,1.12,2.02,1.11,1.06,1.0,1.24,0.89
a_1,4.95,5.05,5.02,5.45,3.43,1.07,2.73,2.34,1.39,1.57,1.78,1.35,2.83,1.23,1.48,1.12
h_1,9.13,6.9,7.39,8.93,7.78,6.38,1.38,3.51,2.23,1.77,2.44,1.86,1.92,2.57,1.49,1.64
g_1,8.43,9.56,9.33,11.45,8.75,6.82,2.3,1.36,2.04,2.75,2.57,2.26,2.19,1.37,2.11,2.49
c_0,9.93,8.7,5.41,20.37,9.1,7.74,2.85,4.19,1.58,2.91,2.94,2.17,2.34,1.89,2.35,1.94
d_0,9.39,5.36,21.14,9.88,9.46,7.1,4.02,3.61,2.62,1.62,2.82,2.57,2.59,1.98,1.92,2.66
b_0,9.26,8.69,8.08,13.3,18.14,8.13,3.5,3.47,1.8,2.99,1.62,2.91,2.86,2.09,2.04,2.02
f_0,19.14,11.68,9.2,12.35,9.94,9.64,4.79,2.98,3.17,3.88,2.66,1.67,2.85,2.82,3.34,1.96
a_0,13.03,10.08,14.45,13.47,12.97,19.41,4.67,4.54,3.26,3.19,2.07,3.66,1.7,2.97,3.65,2.54
h_0,15.08,12.45,12.44,12.2,10.93,10.68,7.65,4.91,3.77,4.21,3.41,3.22,2.57,5.01,3.28,3.04
e_0,20.79,,13.03,15.43,10.8,10.13,6.1,4.15,4.04,5.88,4.88,1.92,3.04,2.18,1.59,2.58
g_0,15.08,13.72,16.61,13.67,12.27,10.89,4.49,10.5,4.76,4.47,4.0,5.01,4.05,2.75,3.27,5.3
