,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.91,3.81,4.43,4.78,4.17,0.97,1.5,0.84,1.02,0.87,1.68,0.48,0.96,0.84,0.75
d_1,4.41,1.11,5.25,4.78,4.35,4.18,1.31,0.81,0.79,1.96,0.76,0.84,0.53,0.85,0.85,0.4
e_1,2.52,5.2,1.12,4.89,5.29,6.32,1.33,1.71,1.03,1.08,1.03,1.29,0.73,1.01,1.74,0.8
c_1,4.92,6.27,4.05,1.12,5.04,4.7,1.17,1.48,1.69,0.58,0.96,0.8,0.86,0.78,1.05,0.73
b_1,6.01,5.88,5.82,2.89,1.12,5.03,2.45,1.57,1.87,1.43,3.76,1.27,0.91,1.51,1.33,0.88
a_1,10.48,8.08,9.22,10.31,3.82,1.13,2.52,2.43,1.93,1.66,2.19,1.7,1.33,3.95,1.53,1.24
h_1,18.84,14.81,15.71,15.51,19.36,13.28,1.71,5.34,3.83,3.57,3.62,3.41,5.52,4.26,3.16,2.58
g_1,21.73,15.8,17.62,22.19,20.91,15.74,4.07,1.75,3.83,4.01,3.73,3.65,1.78,3.82,3.24,3.64
c_0,23.46,10.09,19.24,39.95,25.09,17.43,5.8,5.56,2.15,5.46,3.47,4.04,2.57,3.95,3.61,2.53
d_0,17.53,37.26,10.27,20.89,20.03,23.8,5.94,6.22,4.22,2.2,4.73,3.6,2.83,3.72,3.64,3.53
b_0,22.14,16.24,21.88,29.87,45.79,18.77,5.02,5.85,2.41,3.93,2.14,3.85,3.4,5.12,3.61,2.6
f_0,38.09,20.23,21.32,23.16,25.09,19.33,7.06,4.12,4.19,4.79,4.69,2.27,3.59,5.18,4.8,1.83
h_0,27.67,28.78,26.56,30.15,27.48,22.96,11.51,9.12,4.79,5.7,5.43,4.93,5.46,5.88,5.59,3.98
a_0,32.8,23.92,29.88,30.15,36.99,54.22,8.31,7.43,5.5,5.85,3.15,5.06,4.46,2.4,4.69,5.09
e_0,49.89,24.93,44.04,35.51,27.74,28.71,8.9,8.05,6.05,6.89,5.63,2.84,4.6,6.3,2.46,3.98
g_0,36.52,43.17,34.86,35.51,31.02,33.08,7.26,13.41,6.8,8.47,7.23,7.11,3.91,8.06,8.33,7.69
