,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.45,1.21,1.3,1.65,3.97,16.24,28.15,33.7,35.48,,52.09,71.2,78.96,74.07,160.98
e_1,0.69,1.0,1.12,1.36,1.81,3.41,19.73,24.84,44.09,33.33,50.29,46.23,90.01,76.76,,134.69
d_1,0.83,0.89,1.0,1.44,1.69,3.68,20.4,21.88,,47.74,46.18,36.8,78.39,81.44,85.44,109.24
c_1,0.77,0.74,0.7,1.0,1.94,2.77,13.73,18.18,15.0,,36.37,31.85,62.62,61.41,55.0,109.68
b_1,0.61,0.55,0.59,0.52,1.0,2.83,11.0,12.47,18.53,17.43,19.51,,52.01,41.9,44.96,
a_1,0.25,0.29,0.27,0.36,0.35,1.0,6.22,5.14,4.95,9.04,12.16,13.38,27.7,,,42.26
h_1,0.06,0.05,0.05,0.07,0.09,0.16,1.0,1.51,1.57,1.71,2.18,2.24,,4.51,4.21,7.55
g_1,0.04,0.04,0.05,0.06,0.08,0.19,0.66,1.0,0.95,1.6,1.95,1.82,2.62,4.46,4.37,
d_0,0.03,0.02,,0.07,0.05,0.2,0.64,1.06,1.0,1.24,1.78,1.37,2.31,2.92,2.42,6.44
c_0,0.03,0.03,0.02,,0.06,0.11,0.59,0.63,0.8,1.0,1.05,2.24,2.05,3.32,2.84,3.7
f_0,,0.02,0.02,0.03,0.05,0.08,0.46,0.51,0.56,0.95,1.0,1.09,2.37,2.07,3.17,4.07
b_0,0.02,0.02,0.03,0.03,,0.07,0.45,0.55,0.73,0.45,0.92,1.0,1.96,,1.66,3.38
h_0,0.01,0.01,0.01,0.02,0.02,0.04,,0.38,0.43,0.49,0.42,0.51,,0.73,0.82,2.73
a_0,0.01,0.01,0.01,0.02,0.02,,0.22,0.22,0.34,0.3,0.48,,1.36,1.0,1.12,
e_0,0.01,,0.01,0.02,0.02,,0.24,0.23,0.41,0.35,0.32,0.6,1.23,0.9,1.0,
g_0,0.01,0.01,0.01,0.01,,0.02,0.13,,0.16,0.27,0.25,0.3,0.37,,,
