,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.79,0.97,1.14,0.95,0.84,0.76,0.7,0.88,0.59,0.64,0.71,0.62,0.6,0.57,0.65
f_1,1.25,1.0,0.91,1.02,0.87,0.72,0.62,0.68,0.65,0.62,0.6,0.57,0.45,0.57,0.53,0.45
d_1,1.05,1.12,1.0,0.85,0.98,0.86,0.74,0.58,0.71,0.84,0.69,0.64,0.64,0.44,0.59,0.54
c_1,0.88,1.0,1.17,1.0,1.26,0.84,0.69,0.68,0.5,0.58,0.51,0.57,0.61,0.57,0.53,0.51
b_1,1.04,1.15,1.03,0.8,1.0,1.19,0.77,0.71,0.66,0.79,0.63,0.62,0.68,0.62,0.55,0.65
a_1,1.17,1.38,1.11,1.16,0.84,1.0,0.95,0.9,0.83,0.65,0.75,0.67,0.76,0.74,0.67,0.63
h_1,1.39,1.58,1.34,1.41,1.31,1.07,1.0,1.07,0.91,0.83,0.86,1.0,0.8,0.95,0.8,0.77
g_1,1.41,1.49,1.71,1.42,1.44,1.22,0.93,1.0,0.86,0.99,0.94,1.12,0.82,0.85,0.95,0.93
d_0,1.14,1.53,1.49,1.96,1.45,1.24,1.11,1.12,1.0,0.82,0.95,0.94,0.96,0.9,0.84,0.93
c_0,1.68,1.66,1.2,1.72,1.25,1.41,1.2,1.02,1.21,1.0,1.48,0.98,0.97,0.95,0.92,0.88
b_0,1.56,1.67,1.46,2.04,1.72,1.28,1.18,1.1,1.06,0.74,1.0,0.97,1.03,0.95,1.27,0.88
f_0,1.37,1.74,1.57,1.73,1.56,1.51,1.0,0.89,1.08,1.0,1.1,1.0,1.1,0.86,0.97,1.22
h_0,1.61,2.11,1.62,1.57,1.44,1.25,1.27,1.25,1.05,1.07,0.92,0.94,1.0,1.04,0.86,0.85
g_0,1.62,1.84,2.24,1.72,1.57,1.35,1.08,1.15,1.08,1.04,1.01,1.23,0.98,0.99,0.96,0.91
a_0,1.81,1.87,1.59,1.89,1.88,1.58,1.24,1.04,1.2,1.12,0.8,1.02,1.16,1.04,1.0,0.96
e_0,1.63,2.14,1.81,1.95,1.55,1.6,1.31,1.1,1.16,1.12,1.13,0.87,1.16,1.08,1.01,1.0
