,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.99,1.17,1.06,0.96,1.09,1.09,1.11,1.34,1.08,1.06,1.02,1.06,0.96,1.08
f_1,1.26,1.0,0.93,1.08,0.9,0.92,0.83,0.96,0.86,0.94,0.89,0.94,0.93,0.8,0.77,1.0
d_1,1.01,1.07,1.0,0.86,1.0,1.02,1.08,0.87,1.22,1.0,0.96,1.12,0.99,0.94,1.12,0.85
c_1,0.86,0.94,1.14,1.0,1.33,0.98,1.02,0.94,0.76,0.72,0.97,0.77,0.98,1.04,1.02,0.98
b_1,0.93,1.13,1.03,0.76,1.0,1.43,1.04,1.04,1.09,0.92,1.09,0.94,0.91,1.09,0.9,1.03
a_1,1.05,1.08,1.0,1.02,0.67,1.0,1.11,1.17,1.05,1.29,1.08,1.2,1.15,1.15,1.28,1.16
h_1,0.94,1.18,0.93,0.99,0.96,0.93,1.0,1.24,0.92,1.0,0.92,1.01,0.9,1.05,0.98,1.15
g_1,0.91,1.05,1.17,1.05,0.98,0.83,0.81,1.0,0.99,0.9,1.2,0.97,0.92,0.93,1.0,1.05
c_0,0.96,1.15,0.82,1.26,0.9,0.92,1.06,0.99,1.0,1.15,0.99,1.42,1.17,1.13,1.18,1.08
d_0,0.74,0.99,1.02,1.42,1.1,0.76,0.99,1.08,0.87,1.0,0.9,0.95,1.07,1.17,1.12,0.96
f_0,0.88,1.2,0.99,1.06,0.94,0.92,1.08,0.83,1.03,1.06,1.0,0.98,1.02,1.03,1.39,0.86
b_0,0.96,1.1,0.86,1.31,1.03,0.86,0.94,1.03,0.72,1.03,1.03,1.0,1.38,1.12,0.96,1.07
a_0,0.94,1.07,1.0,1.05,1.12,0.86,1.12,1.11,0.89,0.93,1.02,0.69,1.0,1.08,0.83,0.96
h_0,0.95,1.23,1.06,0.94,0.9,0.88,0.95,1.08,0.9,0.86,0.94,0.9,0.95,1.0,0.9,1.19
e_0,1.01,1.26,0.94,1.0,1.04,0.78,1.02,0.99,0.92,0.91,0.73,1.02,1.1,1.03,1.0,0.97
g_0,0.93,1.01,1.15,1.01,0.97,0.93,0.85,0.93,0.9,0.96,1.21,0.96,1.04,0.83,0.98,1.0
